specification,clip,term,abs_smd
original,0.05,ninsclas_Private & Medicare,0.01889003348485038
original,0.05,resp_Yes,0.008649658012338553
original,0.05,card_Yes,0.022214807628947057
original,0.05,neuro_Yes,0.05517155377403379
original,0.05,gastr_Yes,0.00342732578470439
original,0.05,renal_Yes,0.00779354847125457
original,0.05,meta_Yes,0.0016821853283042812
original,0.05,hema_Yes,0.01064893368996914
original,0.05,seps_Yes,0.028125395654498384
original,0.05,trauma_Yes,0.014894454204551169
original,0.05,ortho_Yes,0.005623966395558134
original,0.05,race_other,0.007842187072498901
original,0.05,race_white,0.007285571899382063
original,0.05,income_$25-$50k,0.029095796692333687
original,0.05,income_> $50k,0.009778936136840461
original,0.05,income_Under $11k,0.005823980771747163
reduced,0.01,cardiohx,0.011332222545834294
reduced,0.01,chfhx,0.005424253695301893
reduced,0.01,dementhx,0.05512930412616434
reduced,0.01,psychhx,0.012994131735799462
reduced,0.01,chrpulhx,0.02292345609159524
reduced,0.01,renalhx,0.01708373476395003
reduced,0.01,liverhx,0.0020203385967956884
reduced,0.01,gibledhx,0.0133151725287726
reduced,0.01,malighx,0.013240574821052847
reduced,0.01,immunhx,5.918617669184507e-05
reduced,0.01,transhx,0.019760214606164617
reduced,0.01,amihx,0.003658660194266739
reduced,0.01,age,0.005796121085905065
reduced,0.01,edu,0.008676469579084602
reduced,0.01,surv2md1,0.0047165683967846
reduced,0.01,das2d3pc,0.04808104291877775
reduced,0.01,aps1,0.018742618493798532
reduced,0.01,scoma1,0.0050318359173602886
reduced,0.01,meanbp1,0.0017371627767525323
reduced,0.01,wblc1,0.04880907639776245
reduced,0.01,hrt1,0.043310730825618135
reduced,0.01,resp1,0.029344174280456794
reduced,0.01,temp1,0.023156532868834304
reduced,0.01,pafi1,0.005984953562809615
reduced,0.01,alb1,0.012225600632209078
reduced,0.01,hema1,0.017446317167384748
reduced,0.01,bili1,0.007237150788433933
reduced,0.01,crea1,0.025304982663930664
reduced,0.01,sod1,0.016037150402993288
reduced,0.01,pot1,0.027590030174559504
reduced,0.01,paco21,0.0344287845720234
reduced,0.01,ph1,0.033491507796665716
reduced,0.01,wtkilo1,0.016639146028721904
reduced,0.01,adld3p,0.16588320323188685
reduced,0.01,urin1,0.08565368369503236
reduced,0.01,cat1_CHF,0.005821263628545628
reduced,0.01,cat1_COPD,0.06529023524046142
reduced,0.01,cat1_Cirrhosis,0.01812897783100399
reduced,0.01,cat1_Colon Cancer,0.017061124110153435
reduced,0.01,cat1_Coma,0.0025028447284344726
reduced,0.01,cat1_Lung Cancer,0.04002383990330196
reduced,0.01,cat1_MOSF w/Malignancy,0.01000966525586504
reduced,0.01,cat1_MOSF w/Sepsis,0.020422321262831906
reduced,0.01,cat2_Colon Cancer,0.0006935333579069327
reduced,0.01,cat2_Coma,0.01310891043788384
reduced,0.01,cat2_Lung Cancer,0.009379128499102867
reduced,0.01,cat2_MOSF w/Malignancy,0.030959522908719377
reduced,0.01,cat2_MOSF w/Sepsis,0.00508992991810555
reduced,0.01,ca_No,0.012469280133810344
reduced,0.01,ca_Yes,0.016845447942435348
reduced,0.01,sex_Male,0.03160201666673657
reduced,0.01,dnr1_Yes,0.03171502708366741
