gene,n,mean_difference,ci_low,ci_high,p_value,q_value,sd_difference,median_difference,missing_pairs,status
CANX,72,0.7403540228523521,0.6262049291339654,0.8545031165707387,2.4226533611451695e-20,1.187899784996787e-19,0.4857646382712255,0.6455739643564802,0,tested
CAP1,72,0.7157707150221676,0.6523675799266863,0.779173850117649,4.804299555138789e-34,1.160784701918222e-32,0.2698138021218222,0.740958730547085,0,tested
CAP2,72,0.12717959411634966,0.000647077121105899,0.2537121111115934,0.04887078450270512,0.06084449468466823,0.538462639917059,0.1235507150012849,0,tested
CAPG,72,0.625698681723336,0.4225516157891389,0.828845747657533,4.219180468380286e-08,8.471775776795262e-08,0.8644979805344771,0.61236061744341,0,tested
CAPN1,72,-0.05147930671978283,-0.12755455089911827,0.02459593745955259,0.18153411352899484,0.20987846833792406,0.3237403142362182,-0.03891558139053508,0,tested
CAPN10,72,-0.08448212002740284,-0.15366592488468273,-0.01529831517012295,0.017412767169420956,0.02278602764617297,0.294413602823991,-0.08272009804851499,0,tested
CAPN11,72,0.6023312135376584,0.4700083468822579,0.7346540801930589,1.696507615562324e-13,4.905579730826885e-13,0.5631036336955044,0.43513144301937123,0,tested
CAPN12,72,0.5497129123884759,0.3591238132277804,0.7403020115491713,2.068205484968652e-07,3.960415639141885e-07,0.8110572041915501,0.46573586996097993,0,tested
CAPN13,72,-0.9388132123070613,-1.1386838771419632,-0.7389425474721593,4.969992345480372e-14,1.48802400329569e-13,0.850555164669841,-0.9285935253770848,0,tested
CAPN14,72,0.7610598578598871,0.5194460053735552,1.0026737103462189,2.3760378669888977e-08,4.865161211042206e-08,1.028194458940633,0.46296636663929747,0,tested
CAPN15,72,0.5342299363759772,0.4175982347240291,0.6508616380279252,1.3325383737726501e-13,3.882061770688975e-13,0.49632944527522066,0.5035454397918249,0,tested
CAPN2,72,-0.2739344055953221,-0.3522070502426886,-0.1956617609479556,1.2869118450431924e-09,2.8738260403401416e-09,0.33309141295035727,-0.27823031018670985,0,tested
CAPN3,72,-1.3706977710075958,-1.546760472478738,-1.1946350695364536,1.612404009145205e-24,1.172826628100703e-23,0.7492397154214822,-1.4473344838697848,0,tested
CAPN5,72,-1.3598694999712535,-1.506734910300139,-1.213004089642368,8.138603862167149e-29,9.447835924243487e-28,0.6249898321485733,-1.45751494507538,0,tested
CAPN6,72,-0.4304835693673678,-0.8315915185823762,-0.029375620152359394,0.03579440151072628,0.045254690473833785,1.7069260167657112,-0.8010083343759005,0,tested
CAPN7,72,-0.4810464282962056,-0.5408183290132232,-0.42127452757918793,2.558063882219697e-25,2.031812227251777e-24,0.2543609833838641,-0.5119330297035547,0,tested
CAPN8,72,-0.4388808551396245,-0.5927310445338345,-0.2850306657454144,2.666093975209293e-07,5.068563981064258e-07,0.6547137534303522,-0.2845718828764724,0,tested
CAPN9,72,-0.03576512743317192,-0.06450985374745583,-0.0070204011188880165,0.015474991085210438,0.020362393985556466,0.12232398107961821,-0.05068838420367196,0,tested
CAPNS1,72,-0.04545638624020581,-0.10144004667306872,0.010527274192657102,0.10988155388232725,0.1309803000923052,0.23824002165413888,-0.0568963419003401,0,tested
CAPNS2,72,0.043638602932375224,-0.04489279744139419,0.13217000330614465,0.32901970178601925,0.36321100896726594,0.37674783283261404,0.03260050909494894,0,tested
CAPRIN1,72,0.11192312587133468,0.06405964499976238,0.15978660674290698,1.4250531152568076e-05,2.4125164696054307e-05,0.20368437203138262,0.08086259065966006,0,tested
CAPRIN2,72,-0.1057354315320625,-0.16661901363879666,-0.044851849425328334,0.000909530616180712,0.0013395340923767515,0.2590917744095093,-0.14799218256729496,0,tested
CAPS,72,-0.9434476812735849,-1.0547922082670482,-0.8321031542801217,1.3978305439552342e-26,1.279102396213127e-25,0.47382972668970214,-0.87945517543199,0,tested
CAPS2,72,-0.6639054274472346,-0.7569550998816382,-0.5708557550128309,1.78399247206179e-22,1.0466713007175235e-21,0.39597546506033654,-0.683719202881155,0,tested
CAPSL,72,-0.44097596217989543,-0.5090898792146196,-0.37286204514517124,2.653180549990701e-20,1.2962545775455595e-19,0.2898606654840176,-0.4489213145456478,0,tested
CAPZA1,72,0.8292659844198488,0.7486462466631714,0.9098857221765262,1.4901763848004102e-31,2.530138131744873e-30,0.3430795328564696,0.7947197223834399,0,tested
CAPZA2,72,0.2449500255953193,0.17139512439670235,0.31850492679393627,5.32859198326203e-09,1.1401280135223078e-08,0.313014924691133,0.26130645407293995,0,tested
CAPZA3,72,-0.9224601240832704,-1.0083657459285036,-0.8365545022380372,1.0701824525557261e-32,2.133073305591942e-31,0.3655737593858157,-0.9490633658084308,0,tested
CAPZB,72,0.13647776318916258,0.07202737401030751,0.20092815236801764,7.055519968069662e-05,0.00011330184291262952,0.27427042095616144,0.12509399133069543,0,tested
CARD10,72,-0.15053133190264179,-0.30076473559367856,-0.0002979282116049864,0.04955948234542132,0.06165752138171855,0.639322421431336,-0.16113227526726503,0,tested
CARD11,72,1.3477763437007704,1.155044634223312,1.5405080531782287,5.127338973504263e-22,2.8819494703276255e-21,0.8201751418954296,1.3473788388922416,0,tested
CARD14,72,0.024751730583545142,-0.14999539960984642,0.19949886077693668,0.7784367549420316,0.7996312946476544,0.7436412653152278,-0.1997479028491399,0,tested
CARD16,72,1.867484993573927,1.7428223986676137,1.9921475884802404,6.144656102157889e-42,5.14716457191772e-40,0.53050513453935,1.9575698718654801,0,tested
CARD17,72,0.3391489553547896,0.2683319774499663,0.40996593325961295,2.287858954461808e-14,7.02124564543113e-14,0.30136361608148965,0.31412617101472096,0,tested
CARD18,72,0.0005431974742389321,-0.003948828804851143,0.005035223753329008,0.8101592012745114,0.8293054054820647,0.019115942575508603,0.0,0,tested
CARD19,72,0.3870710002403513,0.29735170874678163,0.47679029173392096,1.2774852521212044e-12,3.477151741924521e-12,0.38180293648099656,0.3393908508592751,0,tested
CARD6,72,0.15335660353569314,0.0003628543446048682,0.3063503527267814,0.049473552951145,0.061558670943987835,0.6510691483623807,0.098859688032235,0,tested
CARD8,72,0.7767372900797729,0.6915680082682351,0.8619065718913107,1.9845954335554575e-28,2.2107253760431767e-27,0.3624402439240537,0.7751203709036898,0,tested
CARD9,72,1.1108476242133172,0.9958281124398949,1.2258671359867395,6.672710630593454e-30,8.885265591087853e-29,0.48946872647618495,1.0923910442966431,0,tested
CARF,72,-0.29594699221412357,-0.35716204186049805,-0.23473194256774907,1.560549593069183e-14,4.8439194437170274e-14,0.2605023437293961,-0.24117263803186006,0,tested
CARHSP1,72,0.8440095934236885,0.7369292732595297,0.9510899135878473,8.1535554197350125e-25,6.115970662968886e-24,0.45568327610936726,0.8640937636508101,0,tested
CARM1,72,-0.21541508707535245,-0.28173017374880854,-0.14910000040189636,1.0525086153905801e-08,2.209721908098916e-08,0.28220569292761316,-0.279256268107515,0,tested
CARMIL1,72,-0.6959143195110152,-0.7778876181477383,-0.6139410208742921,1.2526600214553437e-26,1.150692285409341e-25,0.34883964877027257,-0.6657800212297398,0,tested
CARMIL2,72,0.3842520162369429,0.30539493385332334,0.46310909862056243,1.1317836982160987e-14,3.5477855294393536e-14,0.33557850396698324,0.347217158252673,0,tested
CARMIL3,72,-0.3147260689430807,-0.41241357309273335,-0.21703856479342803,1.3121533882717421e-08,2.7379125071861273e-08,0.41571188671847764,-0.33057665681723497,0,tested
CARNMT1,72,-0.34575161435957313,-0.4145117267660235,-0.2769915019531228,3.0732994194595843e-15,1.0032410036227296e-14,0.2926105678334266,-0.32558856177610007,0,tested
CARNS1,72,-0.19348770998637033,-0.29505697830305877,-0.0919184416696819,0.0003042774725768668,0.000464987233066714,0.43223084192898775,-0.28473791548061206,0,tested
CARS,72,0.5868122638581964,0.518751470447822,0.6548730572685708,5.165173019092481e-27,4.9404308328995744e-26,0.289634596425339,0.56457454272823,0,tested
CARS2,72,0.22674731292711714,0.13795918938666818,0.3155354364675661,2.7958719381376084e-06,4.967159198700049e-06,0.37784032539769374,0.18604040723372028,0,tested
CARTPT,72,-0.014252039905833853,-0.022808910584468232,-0.005695169227199476,0.0014188551462058798,0.0020563666619744514,0.0364140007996485,0.0,0,tested
CASC1,72,-0.26930534699029995,-0.42315803077390857,-0.11545266320669131,0.0008336553411876616,0.0012315068608361858,0.6547243683737077,-0.2753660726889051,0,tested
CASC10,72,-0.8677122467741495,-0.9917173340185095,-0.7437071595297895,4.9624480571353615e-22,2.7933969747314654e-21,0.5277070924247337,-0.951855765503134,0,tested
CASC3,72,-0.16421079720971296,-0.21520903692843027,-0.11321255749099565,1.3322298328459898e-08,2.7788887967931652e-08,0.21702442535854846,-0.16330602909519465,0,tested
CASC4,72,0.44185904738442294,0.35517451016830404,0.5285435846005418,1.7289876750739992e-15,5.750691034026954e-15,0.36888845537731996,0.4254766698771353,0,tested
CASD1,72,0.08535345391192894,0.0027797602570948793,0.16792714756676302,0.0429604195079274,0.053838553808952715,0.35139464644298335,0.03511605119552996,0,tested
CASK,72,-0.007477935322149718,-0.10805533116637071,0.09309946052207128,0.8825658629600752,0.896090873781815,0.4280099010778234,-0.061567899147975114,0,tested
CASKIN1,72,-0.05772493789259162,-0.07920739795922672,-0.03624247782595652,9.918166501140596e-07,1.8142754787800715e-06,0.09141920538756017,-0.0659711658382386,0,tested
CASKIN2,72,-0.42037346563524775,-0.5421099507990191,-0.2986369804714763,1.9038876444362825e-09,4.2007917798742065e-09,0.5180529932710676,-0.4347705900553249,0,tested
CASP1,72,1.9318215410375872,1.7936610722210595,2.069982009854115,5.614039513696444e-40,3.3889194080297743e-38,0.5879457118040451,2.0025548157416297,0,tested
