gene,n,mean_difference,ci_low,ci_high,p_value,q_value,sd_difference,median_difference,missing_pairs,status
ACOT9.1,43,0.42188737469858356,0.320173951511901,0.5236007978852661,1.710694232262907e-10,4.02047206190999e-10,0.3305017426754744,0.420648523444498,29,tested
ACOX1,72,-0.2973587626514961,-0.4536399309597409,-0.14107759434325123,0.00030891474752530574,0.0004581436307348695,0.6650588517079995,-0.30505381710615254,0,tested
ACOX1.1,71,-1.312291737577707,-1.523799671560371,-1.100783803595043,2.72940763280334e-19,1.1773063963850349e-18,0.893584219544692,-1.2547393775316,1,tested
ACOX2,72,-1.5482345113470541,-1.6984323638381662,-1.398036658855942,1.3096988227277382e-31,2.6926656328744665e-30,0.6391711323127895,-1.693117447810852,0,tested
ACOX3,72,-0.5818130482924293,-0.7094083089449092,-0.4542177876399494,1.5873121470345351e-13,4.586838355759646e-13,0.5429851750631195,-0.5799381370625996,0,tested
ACP1,72,0.35929687050065867,0.3041279288195706,0.4144658121817467,1.9695328346945465e-20,9.242433550276138e-20,0.2347729633809906,0.3307496027099022,0,tested
ACP1.1,69,0.18322840984317587,0.054725528037781024,0.3117312916485707,0.00585845311839159,0.007794438421538632,0.5349244418922502,0.1366710107714016,3,tested
ACP2,72,-0.315390954010172,-0.3953837701281691,-0.23539813789217484,3.019046733576295e-11,7.491985129352206e-11,0.34041165041327426,-0.28384698345790077,0,tested
ACP5,72,0.11977869456572937,-0.037819347559272326,0.27737673669073104,0.13409814866415096,0.15475117616142472,0.6706628448051667,0.03555871459930021,0,tested
ACP6,72,-1.1138934974398618,-1.2306041103668695,-0.997182884512854,1.3533064393720817e-29,1.8989823085622511e-28,0.49666525439762577,-1.188392152273801,0,tested
ACPP,72,-1.5929411814918817,-1.761512720062942,-1.4243696429208215,2.4433319692423883e-29,3.2948857052968924e-28,0.7173608636684705,-1.5736370969125009,0,tested
ACSF2,72,-2.143135478522457,-2.3163504551272056,-1.9699205019177077,1.4860220772006146e-36,1.028224793141639e-34,0.7371211431704205,-2.275743753650947,0,tested
ACSF3,72,-1.1064442176364024,-1.2231552817935007,-0.9897331534793041,2.0172492665226908e-29,2.7648991654401853e-28,0.49666717461980686,-1.1639369841826954,0,tested
ACSL1,72,-0.9145503450310952,-1.0492799816709535,-0.779820708391237,2.3979997559456825e-21,1.20900158549764e-20,0.5733457102010482,-0.9213829533446509,0,tested
ACSL1.1,65,-0.9902545350167705,-1.1828749462732304,-0.7976341237603107,3.65041295674388e-15,1.1802962679668496e-14,0.7773601396847887,-1.061737329812405,7,tested
ACSL3,72,0.26840278989105654,0.19757428677525937,0.33923129300685373,1.110826854063111e-10,2.649768384882357e-10,0.30141266193684724,0.25959979535429734,0,tested
ACSL4,72,-0.6550705104893888,-0.7246254155213139,-0.5855156054574637,2.980368917770676e-29,3.9552964751313746e-28,0.29599282992275067,-0.6631299018816466,0,tested
ACSL5,72,0.7632369345748241,0.6536211111543799,0.8728527579952683,6.4263266685598e-22,3.413199336456351e-21,0.4664731806281324,0.7774878037305032,0,tested
ACSM2A,72,-1.637206628673225,-1.8394227539098513,-1.4349905034365986,1.8306485933249166e-25,1.4360357573752062e-24,0.8605363365434777,-1.664839346657251,0,tested
ACSM2B,72,-1.7834080798629397,-1.97324093337819,-1.5935752263476894,3.453848616788264e-29,4.529733748004792e-28,0.8078389798462029,-1.8942954976444506,0,tested
ACSM3,72,-1.8415821655061793,-2.027105792257682,-1.6560585387546767,1.2874793834701121e-30,2.1819730835060193e-29,0.789500945684628,-1.9243981987562035,0,tested
ACSM4,22,-1.6459446399569493,-2.052675461504983,-1.2392138184089154,3.621250944057777e-08,7.251898347651033e-08,0.9173513920535773,-1.5158310840556486,50,tested
ACSM5,72,-0.29462069473524755,-0.47772932406303836,-0.11151206540745673,0.0020047925906446196,0.00276786625319079,0.7792238570828608,-0.3018806597862993,0,tested
ACSS1,72,-1.0115543093133983,-1.1235181099038578,-0.8995905087229388,3.4389877762813356e-28,3.825206691732887e-27,0.47646506267912275,-1.0326511431313494,0,tested
ACSS2,72,-0.34846271429028713,-0.42086856620469726,-0.276056862375877,1.876512806724634e-14,5.764560009145209e-14,0.3081251135527672,-0.33409007083285047,0,tested
ACSS3,72,-1.286470738736758,-1.4247731212238044,-1.1481683562497116,6.209315811922338e-29,7.8263901433438205e-28,0.58854962936992,-1.3444190548090464,0,tested
ACTA1,63,0.21168862180677425,0.07378272491949789,0.3495945186940506,0.0031890767390321253,0.0043372654090699896,0.5475786488962122,0.1616859078109982,9,tested
ACTA2,72,-0.5065168567853223,-0.7639652691840657,-0.24906844438657888,0.0001997612516203994,0.000301022024257655,1.09557886837811,-0.44162781745114954,0,tested
ACTB,72,0.003521331129705889,-0.05556822463658393,0.06261088689599571,0.9057493134584577,0.913914805902231,0.2514572454971293,-0.010326395349048209,0,tested
ACTBL2,72,-0.057194153962879114,-0.12182732972080357,0.007439021795045332,0.08195755188769173,0.09678438301426684,0.2750482743194262,-0.1066957348430008,0,tested
ACTG1,72,-0.18128527156102034,-0.2332685551320947,-0.12930198798994597,1.4280097302489557e-09,3.1419345665762655e-09,0.22121630682720045,-0.18368783369610114,0,tested
ACTL6A,72,0.16538399618995436,0.12105252360678241,0.2097154687731263,1.8301027597013222e-10,4.291054215490387e-10,0.18865381267522546,0.21615365418544916,0,tested
ACTL8,19,0.7111792816230165,,,,,0.7790763417811226,0.756613338505499,53,insufficient_pairs
ACTN1,65,0.5460567801770017,0.368541974609751,0.7235715857442523,5.709562733319747e-08,1.1263083543727296e-07,0.716398294198161,0.5719906439353006,7,tested
ACTN1.1,72,-0.15310076805942885,-0.32216745323482665,0.01596591711596898,0.07521296273401623,0.08915544129376002,0.7194679737935902,-0.19280317721379892,0,tested
ACTN2,24,0.6856581520675711,0.4241854767951438,0.9471308273399983,1.637083763426875e-05,2.6842394833243728e-05,0.6192176345394791,0.5527790229372491,48,tested
ACTN4,72,-1.3242706431975477,-1.4332170239363518,-1.2153242624587437,4.5867472870071445e-36,2.8060265567404075e-34,0.4636243487058003,-1.376330219368299,0,tested
ACTN4.1,72,-0.5054413388889931,-0.5787405191787556,-0.43214215859923066,1.0645569872456642e-21,5.536910447400595e-21,0.31192669726206074,-0.563327672709601,0,tested
ACTR10,72,-0.01517767013905851,-0.047459294551180885,0.01710395427306386,0.3516892250293324,0.3852072046636782,0.13737534915563074,-0.0008164288673009959,0,tested
ACTR1A,72,-0.07387113948779934,-0.11683871387359279,-0.03090356510200589,0.001015442926926774,0.0014414174994137412,0.1828497060204424,-0.0886704075706528,0,tested
ACTR1B,72,0.12317351838372231,0.06927825383080558,0.17706878293663905,2.105895044236261e-05,3.427716576707075e-05,0.22935279499168343,0.1367903217122493,0,tested
ACTR3,72,0.12193286202933172,0.08115087555089787,0.16271484850776557,8.806612012009835e-08,1.7133360154449229e-07,0.17354887598627902,0.1053440216225492,0,tested
ACTR3B,61,-0.6405621223307228,-0.7448677627342465,-0.5362564819271992,5.047705325388027e-18,1.995414796281248e-17,0.4072659007029849,-0.623695144947501,11,tested
ACTR5,72,0.20309315795190816,0.15509367501626198,0.25109264088755434,2.590864993454735e-12,6.92623194226788e-12,0.20426313259186485,0.2217349448957469,0,tested
