gene,n_protein,mean_difference_protein,ci_low_protein,ci_high_protein,p_value_protein,q_value_protein,sd_difference_protein,median_difference_protein,missing_pairs_protein,status_protein,n_rna,mean_difference_rna,ci_low_rna,ci_high_rna,p_value_rna,q_value_rna,sd_difference_rna,median_difference_rna,missing_pairs_rna,status_rna,same_direction
RPN1,72,0.2665111295978086,0.19312381065335638,0.3398984485422608,4.233372104902319e-10,9.67724363829687e-10,0.31230177375472845,0.3055610981344985,0,tested,72,0.16175460749302348,0.06204122891910152,0.26146798606694543,0.001850623367997699,0.002655017605438075,0.42433305159006174,0.20610700154365036,0,tested,True
RPN2,72,0.3857638874503028,0.3085986233750671,0.46292915152553854,3.922321736252086e-15,1.266580430634605e-14,0.3283789241733829,0.423141618253652,0,tested,72,0.43480120364052527,0.3346755557713358,0.5349268515097148,1.0041112884562377e-12,2.755148073592404e-12,0.4260874750249076,0.3412424206353397,0,tested,True
RPP14,55,0.1261618771881161,0.05789117645394813,0.19443257792228408,0.0004987931398592332,0.0007266431787727147,0.25253842985992575,0.12320236468369879,17,tested,72,-0.6039331183693634,-0.6635269318703002,-0.5443393048684265,3.6814605334394265e-31,5.912413179337053e-30,0.2536031282902997,-0.6535025964100449,0,tested,False
RPP21,51,0.14564581146873185,0.040172725138189605,0.2511188977992741,0.007772791063143641,0.010219422452695602,0.3750093749440532,0.157034164954101,21,tested,72,0.4920281695992397,0.4102851273885964,0.573771211809883,9.41135629526518e-19,4.0278401970395545e-18,0.3478597861548038,0.5296174932104598,0,tested,True
RPP25,72,-0.2851167604380734,-0.3795560770681021,-0.19067744380804463,6.944982780836814e-08,1.3611840640776668e-07,0.40188913452563163,-0.3464556576439011,0,tested,72,0.05408225550476023,-0.06465288325788458,0.17281739426740506,0.36683748732859406,0.40146272354263113,0.5052806803128345,0.002231663122514882,0,tested,False
RPP25L,72,0.29138600174390716,0.22120213012859136,0.36156987335922297,5.093863116252237e-12,1.3312510717728234e-11,0.29866941468494973,0.28221060471825343,0,tested,72,-0.13686531706158003,-0.23655191165513811,-0.03717872246802194,0.007816151702881647,0.010598596921507133,0.42421907161782463,-0.10231856258019989,0,tested,False
RPP30,72,0.15091931725119165,0.10931319346048962,0.19252544104189367,4.3876743280962e-10,1.0025401169161735e-09,0.17705601520516254,0.1433412375245505,0,tested,72,0.27066275472507256,0.2027387727510243,0.3385867366991208,2.1108653014032615e-11,5.298060151291317e-11,0.2890523915587607,0.2901244935940248,0,tested,True
RPP38,72,0.027392334471043223,-0.0215531769451342,0.07633784588722065,0.2682234307886,0.298710809313134,0.20828898306224417,0.05803403900215035,0,tested,72,-0.0205432342178057,-0.0725249838882886,0.0314385154526772,0.43331494067674103,0.4683919957346501,0.22120977927063654,-0.05420174518325016,0,tested,False
RPP40,68,0.010460998440621209,-0.09026665225298844,0.11118864913423085,0.8364089949622009,0.8516025417552021,0.41614128757780655,-0.030320527224950003,4,tested,72,0.08676442301831545,0.003353686084601626,0.17017515995202928,0.04169629314517862,0.05233366430069779,0.3549567073611849,0.07642254197003495,0,tested,True
RPRD1A,72,-0.153065167269621,-0.20598741347965618,-0.1001429210595858,1.9395679131013114e-07,3.6730247021792106e-07,0.22521208841255633,-0.1074193394672493,0,tested,72,-0.20151034479204954,-0.26673744627073054,-0.13628324331336855,3.9082860624872294e-08,7.864965549602568e-08,0.27757574171759103,-0.21010092622742982,0,tested,True
RPRD1B,72,0.19869872379697942,0.15019942901171046,0.24719801858224838,8.123764859507307e-12,2.0925733718982495e-11,0.20639009579785111,0.16724048739005148,0,tested,72,0.030938341549685826,-0.036233182623379954,0.0981098657227516,0.36152691445963897,0.39619816024725,0.28585028649071387,-0.0034338993879750035,0,tested,True
RPRD2,72,0.046325420583479354,-0.010620234562041433,0.10327107572900014,0.10921938066316345,0.12734434005735257,0.24233381686871983,0.03839597973944825,0,tested,72,-0.299476305239037,-0.4060389352160474,-0.19291367526202663,3.739388361819187e-07,7.049818530635717e-07,0.45348023114155395,-0.38383987831716504,0,tested,False
RPS10,72,0.14511906436557645,0.10954460158352838,0.18069352714762452,9.44019194885506e-12,2.4198632044676244e-11,0.1513881142819028,0.13479757939419873,0,tested,72,0.9176920948006122,0.8250944447372295,1.010289744863995,1.4177455562482332e-30,2.0865659250820552e-29,0.3940518713076681,0.8618070688024604,0,tested,True
RPS11,72,0.11739585784640909,0.05375305379946814,0.18103866189335005,0.0004536970775853719,0.000663742020911933,0.2708337200004333,0.1630795458868481,0,tested,72,1.026916120499582,0.9353197013007838,1.1185125396983802,7.397260226871451e-34,1.749488845944784e-32,0.3897911055589641,0.9652184352675448,0,tested,True
RPS12,72,0.04429957062377778,-0.030156229868636954,0.11875537111619253,0.2394378193754368,0.2684111331613137,0.3168487266541178,0.0794245848414515,0,tested,72,0.5438559486214728,0.4328437067122366,0.654868190530709,9.075408155912124e-15,2.8651649690298695e-14,0.4724156782861233,0.4586199861572595,0,tested,True
RPS13,72,0.11867193486037914,0.06796463468023128,0.169379235040527,1.404598978292255e-05,2.3136334836982753e-05,0.21578632407269274,0.09771246226465086,0,tested,72,0.9322197866110176,0.844213151311728,1.0202264219103072,2.4757704430804994e-32,4.698280935646277e-31,0.37451468048529046,0.8383908592140359,0,tested,True
RPS14,72,0.05982166548691316,0.020664022958150098,0.09897930801567623,0.003252015022403567,0.004419269500172692,0.16663643519996388,0.0487896066309992,0,tested,72,1.1934082589705635,1.0950868238549054,1.2917296940862215,5.0238237315376735e-36,1.635753566013508e-34,0.41840959754875634,1.1514609890586844,0,tested,True
RPS15,72,0.3171943211258604,0.2735663013917562,0.36082234085996456,6.575663612949421e-23,3.9293408593639986e-22,0.18566024954093285,0.29291730481855177,0,tested,72,1.2293360065859613,1.118263228112352,1.3404087850595707,1.64788372164741e-33,3.6864128196618235e-32,0.4726732933169307,1.18073085976781,0,tested,True
RPS15A,72,0.03255871499644055,-0.012418272733123084,0.07753570272600419,0.1533028910690551,0.17584176358703896,0.19140082030683353,0.037167454943048996,0,tested,72,0.8819318535078436,0.7846730769606208,0.9791906300550665,2.7745786033280884e-28,3.040842198402513e-27,0.4138874245004505,0.8694435680349049,0,tested,True
RPS16,72,0.08887698445590902,0.04905535014434292,0.12869861876747513,3.112130163469112e-05,5.004648490156371e-05,0.16946207067092192,0.09395363616584991,0,tested,72,-0.13974129898085877,-0.3578235818643395,0.07834098390262198,0.20552922184863057,0.2354867530399922,0.9280552110173542,0.03894806580111476,0,tested,False
