gene,n_four_finite,protein_mean,rna_mean,same_direction
ACTBL2,72,-0.05719415396287913,0.0017791416949366047,False
ACTG1,72,-0.1812852715610203,-0.08271025446201728,True
ACTL6A,72,0.16538399618995442,0.3392038633409842,True
ACTN1,65,0.5460567801770018,0.6921473863667157,True
ACTN2,24,0.6856581520675711,0.2945023894878946,True
ACTN4,72,-1.3242706431975475,-0.5549889681828977,True
ACTR10,72,-0.015177670139058512,-0.02580171581739483,True
ACTR1A,72,-0.07387113948779934,-0.06728835857647521,True
ACTR1B,72,0.12317351838372231,0.1759265678533381,True
ACTR3,72,0.12193286202933172,0.6376237271684114,True
ACTR3B,61,-0.640562122330723,-0.35816684627093864,True
ACTR5,72,0.2030931579519081,0.3244630809407042,True
ACTR6,72,0.28949883687164113,0.17699045856438114,True
ACTR8,72,-0.1344238461416719,-0.6661732303145929,True
ACTRT1,37,-0.039763564067637494,0.03398913578436059,False
ACVR1,71,-0.14787854456766075,-0.7056821602633463,True
ACVR1B,33,-0.460401364427124,-1.1262102805623007,True
ACY1,72,-2.240806656695315,-3.554295888187049,True
ACY3,72,-0.8529203479085113,-1.2117632177116784,True
ACYP1,72,0.663894275227665,-0.12097085436407012,False
ACYP2,72,-0.008079547839784755,-0.017239205576085423,True
ADA,72,1.0844193096645762,1.333105146170501,True
ADAL,72,0.029119603736980353,-0.7002889611849442,False
ADAM10,72,-0.40305311308402847,0.3914949611680625,False
ADAM17,72,0.29044422723157104,0.5662245959936935,True
ADAM22,30,0.2093146115121593,0.12657577838238726,True
ADAM9,72,0.45587525933462536,0.758824767801159,True
ADAMDEC1,40,-0.4558953943931021,2.076539442483809,False
ADAMTS1,54,-0.1560352110647203,-0.109723002270265,True
ADAMTS13,28,0.2373323981037221,-0.6193374066165733,False
ADAMTS15,22,-0.49828531468486764,-1.6251014175987886,True
ADAMTS5,36,0.410323842696531,0.3543883868575961,True
ADAMTS7,45,1.6360589225856366,0.7467578139431421,True
ADAMTSL1,64,-1.0671340404226948,-0.9040100689041877,True
ADAMTSL2,72,-0.9852576602877114,-1.6140823871429852,True
ADAMTSL3,61,-0.5058031970192897,0.21188120979049593,False
ADAMTSL4,72,0.11666455285395864,0.6590409421620822,True
ADAMTSL5,72,-1.1196469377358824,-0.15065701330081613,True
ADAP1,72,-0.3190960716858331,-0.7983486476854528,True
ADAP2,66,0.8895243573337983,1.440726349878621,True
ADAR,72,0.1701804131276067,0.10917655406571541,True
ADARB1,24,0.17286775650206707,0.10563536163901166,True
ADAT1,61,-0.12084967204151632,-0.1896604935371535,True
ADAT2,30,0.27019495809056676,0.007551236754374294,True
ADAT3,60,0.12547658388842622,-0.1959702354751406,False
ADCK1,72,-0.6602789295903873,-0.9261005607179449,True
ADCK5,65,-0.0655845981967842,0.10164815486787923,False
ADCY6,72,-0.12094619996129752,-0.586801196047103,True
ADCY9,72,-0.46950014493246134,-0.6359838890845715,True
ADD1,68,-0.8139871490728927,-0.25276439401662315,True
ADD2,68,1.2433985708417101,0.4863935274567144,True
ADD3,72,-0.6555784842653518,-0.5528262845795684,True
ADGRA2,27,0.40991161980275875,0.8971680941637883,True
ADGRE2,39,1.091459894381143,0.8472113988631489,True
ADGRE5,72,0.24159653667042788,1.0594243433992103,True
ADGRF1,68,-1.1356326585021144,-3.467768744017666,True
ADGRF5,72,0.189209115978605,-0.33980202560569606,False
ADGRG1,72,-0.10351588339843862,-1.0075531178893036,True
ADGRG6,37,0.4557606304212263,0.6808054303562651,True
ADGRL2,72,-0.11177607058950269,0.249725680101251,False
ADGRL4,72,0.4247495821921655,1.5230877388811972,True
ADGRV1,27,-0.11485238619268082,-1.9546990078557371,True
ADH1A,72,-1.3056274343588863,-0.3084716605134116,True
ADH1B,72,-1.681438028464925,-3.1589831176417826,True
ADH1C,72,-2.16152333975978,-2.54705360223651,True
ADH4,38,-0.5470884776763034,-0.36764858435193287,True
ADH5,72,-0.6103076976473487,-0.5179962111104337,True
ADH6,72,-2.089393389343476,-2.843599379397032,True
ADHFE1,72,-1.4079611633614637,-1.3765140465275465,True
ADI1,72,-0.42848550521727796,-1.18874476683177,True
ADIPOQ,72,1.0858492275831872,-0.21531546714273153,False
ADIPOR1,38,-0.39048777342324764,0.45176684057219524,False
ADIRF,72,0.3811325060780222,1.0457205469624502,True
ADK,72,-0.42123241606283135,-0.6591888859776588,True
ADNP,72,0.027071893903901516,-0.01913168131320303,False
ADNP2,43,0.19749702501106334,-0.09529618871524813,False
ADO,72,-0.09632695723082797,-0.01736493457771306,True
ADPGK,72,0.6149600281019336,0.706503074333215,True
ADPRH,72,0.5359523359738074,0.6714844419256104,True
ADPRHL2,72,0.5979300208880765,0.8009062167537331,True
ADRA2A,23,-1.1170349717753612,-0.5572013597932064,True
ADRM1,72,-0.04313701829833199,0.268733548366677,False
ADSL,72,0.309701943821045,0.28563378746230966,True
ADSS,72,-0.16197345467442903,-0.07330647189023064,True
ADSSL1,72,1.5383351269824912,1.243180261459358,True
AEBP1,72,0.15181169056014127,0.18155139928945005,True
AES,72,0.053394498753704445,-0.22852693092373583,False
AFAP1,72,0.3501142625836365,0.4871993173715745,True
AFAP1L1,72,0.8998357143437907,1.6251155650720355,True
AFAP1L2,27,-0.005130383334218835,-1.219751937459895,True
AFDN,38,0.4718754534888257,-0.28776486325428846,False
AFF1,71,0.09502221672673805,-0.3609725496900281,False
AFF4,72,0.17844313988456714,0.1312131290735471,True
AFG3L2,72,-0.6257636541429358,-0.34007112369680775,True
AFM,72,0.18191523672091756,-5.142933726899541,False
AFMID,72,-1.237612853548597,-1.5707121378801758,True
AFTPH,72,-0.25998474753363443,-0.2146958262239463,True
AGA,72,-0.20930044669656406,-0.014866333648645376,True
AGAP1,72,-0.04047898580290128,-0.23511109106644237,True
AGAP3,72,0.10341717636064304,0.3587425417294029,True
AGFG1,72,-0.04975841269005199,0.06480154813739707,False
AGFG2,72,-0.3688624800246767,-0.2263862596085667,True
AGGF1,52,-0.1464745684240863,0.1999502271540465,False
AGK,72,-0.33322929031152376,0.09420618455722736,False
AGL,72,0.5399449802502012,-0.5630104468173348,False
AGMAT,72,-1.8654753804481332,-2.983938997453829,True
AGO1,72,0.06022538384513073,-0.21063101254999334,False
AGO2,72,0.44671513395574575,-0.043640700945597494,False
AGO3,72,-0.05975979833548065,-0.004788844157606924,True
AGPAT1,72,-0.21220521095480044,-0.425561956775604,True
AGPAT2,72,-0.11248443385631234,-0.2976724587621865,True
