gene,n_all,mean_difference_all,sd_difference_all,tumor_nonfinite_all,normal_nonfinite_all,status_all,ci95_low_all,ci95_high_all,t_all,p_all,q_all,finite_fraction_all,abs_effect_rank_all,n_early,mean_difference_early,sd_difference_early,tumor_nonfinite_early,normal_nonfinite_early,status_early,ci95_low_early,ci95_high_early,t_early,p_early,q_early,finite_fraction_early,abs_effect_rank_early
CPA5,72,-0.046729884687657736,0.09525170894146782,0,0,tested,-0.06911293893691589,-0.024346830438399587,-4.162825261268095,8.704075703483146e-05,0.00013891891850069835,1.0,15739.0,37,-0.06781400585167133,0.10128191204699605,0,0,tested,-0.10158307659990448,-0.03404493510343817,-4.072755791108753,0.00024367012410203136,0.00043147541634431033,1.0,14908.0
CPA6,72,0.8343966624181695,0.5309802655272562,0,0,tested,0.7096224172034681,0.9591709076328708,13.333999242539244,5.160089124142339e-21,2.6728165267111572e-20,1.0,3326.0,37,0.8440764219725226,0.4662265902963269,0,0,tested,0.6886287374430407,0.9995241065020046,11.012491649220074,4.440757061237724e-13,2.4726794175246262e-12,1.0,3362.0
CPAMD8,72,-1.7223863025380628,0.7155791623214232,0,0,tested,-1.8905391618187448,-1.5542334432573808,-20.42392118400611,1.9246881326300405e-31,3.227331996645522e-30,1.0,945.0,37,-1.5080727901877298,0.663273455747049,0,0,tested,-1.7292191706209328,-1.2869264097545268,-13.83026650868204,5.643708017628763e-16,5.606656363101264e-15,1.0,1279.0
CPB1,72,0.25523326744666774,0.6126984482170748,0,0,tested,0.11125619073819251,0.399210344155143,3.534734087630592,0.0007229245592223696,0.001073267527608788,1.0,9723.0,37,0.2922303004785712,0.5844707541484226,0,0,tested,0.09735804887699157,0.4871025520801508,3.041328431494864,0.004375537948029128,0.006654603223202618,1.0,9065.0
CPB2,72,-0.03680048451219422,0.3495259661026832,0,0,tested,-0.11893505981528132,0.04533409079089288,-0.8933884634555035,0.374667444244972,0.4093328443494678,1.0,16140.0,37,-0.0793795287156006,0.1710542313783883,0,0,tested,-0.1364118489439267,-0.0223472084872745,-2.8227704106067013,0.007706776762669858,0.01139034868463044,1.0,14485.0
CPD,72,0.051882375946093844,0.5472408996622413,0,0,tested,-0.07671293095889559,0.1804776828510833,0.8044657454118443,0.4238136049282924,0.4586951845700654,1.0,15534.0,37,0.013798553605097045,0.3805556432441145,0,0,tested,-0.11308501504620225,0.14068212225639634,0.22055467139021012,0.8266852726100263,0.8485322298360456,1.0,17322.0
CPE,72,1.1116842023030662,1.5042159040508767,0,0,tested,0.7582107942442435,1.4651576103618889,6.271010185728246,2.4733606128383965e-08,5.058723464894279e-08,1.0,2157.0,37,1.2226396193673692,1.3443810996416066,0,0,tested,0.774400644126465,1.6708785946082734,5.531933219478107,2.9356345214884548e-06,6.498247744172512e-06,1.0,1902.0
CPEB1,72,-0.4410084758222867,0.4132516864647502,0,0,tested,-0.5381178612551711,-0.34389909038940225,-9.055210488766836,1.8563405357323759e-13,5.354720158821469e-13,1.0,6583.0,37,-0.564319368578003,0.2833874527005499,0,0,tested,-0.6588054495177662,-0.46983328763823984,-12.112818254995263,2.930478197756602e-14,2.0431255108944392e-13,1.0,5314.0
CPEB2,72,0.37634429472723835,0.6106218472598678,0,0,tested,0.23285519532012353,0.5198333941343531,5.22972973974013,1.6389478354179954e-06,2.952590534388743e-06,1.0,7527.0,37,0.4872756479014192,0.5998246585250161,0,0,tested,0.2872841497070797,0.6872671460957587,4.941414146377455,1.7967243942459202e-05,3.631656541692838e-05,1.0,6128.0
CPEB3,72,-1.0473804965901161,0.4152194811779712,0,0,tested,-1.1449522911105319,-0.9498087020697004,-21.403904735499577,1.0925504951264551e-32,2.1731012201704546e-31,1.0,2368.0,37,-1.0536970493474718,0.2973079882065892,0,0,tested,-1.1528244679047417,-0.9545696307902019,-21.55807843818488,3.6003859877317876e-22,1.8657890673410072e-20,1.0,2410.0
CPEB4,72,-1.0471778428069796,0.539330924336297,0,0,tested,-1.173914396637631,-0.9204412889763282,-16.475225588111872,5.833509248602606e-26,4.963050486003515e-25,1.0,2370.0,37,-1.1231203165332477,0.49340019193729157,0,0,tested,-1.2876281309294748,-0.9586125021370207,-13.846111716335495,5.45031267142289e-16,5.4259296936823146e-15,1.0,2168.0
CPED1,72,-0.11093350714081326,0.7064649597394055,0,0,tested,-0.2769446338153392,0.055077619533712624,-1.3324114790748056,0.18698574708824076,0.21573533043400875,1.0,13511.0,37,0.05216195853627947,0.6422530407875496,0,0,tested,-0.1619758666121933,0.2662997836847522,0.49402460827959827,0.6242898149576371,0.6635727681415574,1.0,15476.0
CPHXL,72,0.16731070322311112,0.33621913216285226,0,0,tested,0.08830308059385093,0.2463183258523713,4.222479502095025,7.051054093556826e-05,0.00011323969053123569,1.0,11881.0,37,0.14807746055221135,0.28270461908557276,0,0,tested,0.053819047674665776,0.24233587342975693,3.186081753959818,0.0029766579716345477,0.004626416231180565,1.0,12439.0
