gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q,finite_fraction,abs_effect_rank
ABHD6,72,-0.7145200734511549,0.4927073638970416,0,0,tested,-0.830300627707597,-0.5987395191947127,-12.305283653202292,2.821820375218719e-19,9.868406991754912e-19,1.0,1740.0
ABI1,45,0.25095717059501815,0.37162370681621654,27,27,below_cohort_completeness,,,,,,0.625,
ABI1.1,1,-0.434440312117999,,71,71,below_cohort_completeness,,,,,,0.013888888888888888,
ABI2,72,-0.17923963776401813,0.25390788511615353,0,0,tested,-0.23890506560806465,-0.11957420991997161,-5.989962695126762,7.84547710947442e-08,1.3539205622392752e-07,1.0,5144.0
ABI3,72,0.8395702809779476,0.3659922757016461,0,0,tested,0.7535663126200319,0.9255742493358633,19.464864535430358,3.512995126865123e-30,4.413987948794337e-29,1.0,1345.0
ABL1,72,-0.026680783537227543,0.22848358042933178,0,0,tested,-0.08037179268182065,0.02701022560736557,-0.9908543763762921,0.32512157664788854,0.3516220193798972,1.0,7584.0
ABL2,71,0.2711673178110449,0.2895449702220198,1,1,tested,0.2026331415048255,0.33970149411726436,7.891335262064284,2.8960348766225295e-11,6.126783529371645e-11,0.9861111111111112,4177.0
ABLIM1,72,-0.8431007007092379,0.40564940784563525,0,0,tested,-0.9384236382490542,-0.7477777631694217,-17.635787293095046,1.1848333181136233e-27,9.737395453150126e-27,1.0,1329.0
ABLIM1.1,72,-0.7373808275792872,0.4468620391397321,0,0,tested,-0.8423882586810751,-0.6323733964774993,-14.00182439758022,4.1241744884994264e-22,1.81409619499587e-21,1.0,1656.0
ABLIM2,15,-0.47404792149725294,0.553960567822776,57,57,below_cohort_completeness,,,,,,0.20833333333333334,
ABLIM2.1,2,0.902178946100648,0.8562531026883463,70,70,below_cohort_completeness,,,,,,0.027777777777777776,
ABLIM3,50,1.1589126226278765,0.6637979934080337,22,22,below_cohort_completeness,,,,,,0.6944444444444444,
ABLIM3.1,48,1.087225565850609,0.790862527536666,24,24,below_cohort_completeness,,,,,,0.6666666666666666,
ABO,35,-0.2303061101738235,0.5717764665427877,37,37,below_cohort_completeness,,,,,,0.4861111111111111,
ABR,20,0.6402780495486258,0.43263885968559307,52,52,below_cohort_completeness,,,,,,0.2777777777777778,
ABR.1,2,-0.872317350604398,0.2323101458873765,70,70,below_cohort_completeness,,,,,,0.027777777777777776,
ABR.2,68,0.828168346756569,0.4401886179031352,4,4,tested,0.7216200020788983,0.9347166914342397,15.51437465937334,7.249462916102071e-24,3.913349485676011e-23,0.9444444444444444,1382.0
ABRACL,72,-0.27615984104581665,0.4751648604820236,0,0,tested,-0.38781810909900105,-0.16450157299263227,-4.931538820361492,5.1770222948829695e-06,7.992282454089983e-06,1.0,4127.0
ABRAXAS1,72,0.06455652963903707,0.37835842329584163,0,0,tested,-0.024353340938704365,0.15346640021677851,1.4477814812736107,0.1520796614131857,0.17054435993063183,1.0,6933.0
ABRAXAS2,72,-0.05695876888407939,0.21077598796926028,0,0,tested,-0.10648869780174354,-0.007428839966415246,-2.293008731061551,0.024812432378542876,0.02988028265203115,1.0,7064.0
ABT1,65,0.706434522749903,0.28624226424162325,7,7,tested,0.635507162518185,0.7773618829816211,19.897331443334085,4.1787857515630845e-29,4.331523866549431e-28,0.9027777777777778,1767.0
ABTB1,18,0.3978562699244117,0.7927928176515223,54,54,below_cohort_completeness,,,,,,0.25,
ABTB2,52,-0.09732585395992718,0.4517606342192469,20,20,below_cohort_completeness,,,,,,0.7222222222222222,
ACAA1,72,-1.4322942199226285,0.6300826649355171,0,0,tested,-1.580356387284216,-1.2842320525610411,-19.288611071347006,6.0556429676210974e-30,7.225503475736344e-29,1.0,351.0
ACAA2,72,-0.7188261694932805,0.5760424174785232,0,0,tested,-0.854189501275797,-0.583462837710764,-10.58852980656411,2.9541043233500764e-16,8.437005751865785e-16,1.0,1721.0
ACACB,55,-0.19730054000023756,0.4986681990539103,17,17,below_cohort_completeness,,,,,,0.7638888888888888,
ACAD11,72,-0.06106081043795689,0.8286271318221321,0,0,tested,-0.25577864017662566,0.1336570193007119,-0.6252729817882956,0.5337965148533529,0.5605942274910555,1.0,6992.0
ACAD8,72,-1.5352213579737655,0.48226200037017264,0,0,tested,-1.6485473721377166,-1.4218953438098143,-27.01184249256419,4.38554783133951e-39,4.468597558467761e-37,1.0,285.0
ACAD9,72,-0.7186399689591442,0.4012618013195539,0,0,tested,-0.8129318695129676,-0.6243480684053208,-15.196717762168044,5.171996007114415e-24,2.833690873557789e-23,1.0,1722.0
ACADL,72,-0.533741170956786,0.9854827083022977,0,0,tested,-0.765318254105928,-0.3021640878076439,-4.595660561498804,1.8262477610826606e-05,2.730894813917517e-05,1.0,2435.0
ACADM,72,-1.434363099965591,0.6240603501796527,0,0,tested,-1.5810100927399229,-1.287716107191259,-19.50288059885455,3.1251007802250646e-30,3.9699624107149324e-29,1.0,350.0
ACADS,72,-0.594057035740705,0.5519068389677615,0,0,tested,-0.723748784628309,-0.464365286853101,-9.133318786253389,1.3320399400252565e-13,3.246066468067599e-13,1.0,2176.0
ACADSB,72,-1.6052986594070189,0.6289435087575098,0,0,tested,-1.7530931381904793,-1.4575041806235585,-21.657606168264437,5.2808523209530634e-33,1.1596932453197442e-31,1.0,221.0
ACADVL,72,-0.580192227869293,0.5934523447099823,0,0,tested,-0.7196466919792814,-0.4407377637593047,-8.295685994842918,4.730511496213141e-12,1.0492850341641598e-11,1.0,2223.0
ACADVL.1,4,-0.22339962667542507,0.43829609385647916,68,68,below_cohort_completeness,,,,,,0.05555555555555555,
ACAN,9,0.86575799522479,1.4248504811677771,63,63,below_cohort_completeness,,,,,,0.125,
ACAN.1,72,0.8394280009515293,0.9420573608050883,0,0,tested,0.6180553741803847,1.0608006277226738,7.560880130909599,1.0879718487500757e-10,2.22342686369782e-10,1.0,1347.0
ACAP1,68,0.5773893985042248,0.5355464577130981,4,4,tested,0.4477595392881073,0.7070192577203422,8.890498453899278,6.011903407295594e-13,1.4026613569628826e-12,0.9444444444444444,2239.0
ACAP2,72,0.2945064453084078,0.18507635830015684,0,0,tested,0.2510156332891383,0.3379972573276773,13.502373171379421,2.7144304379808428e-21,1.103585196743953e-20,1.0,3974.0
ACAP3,47,-0.11012764362410031,0.3287123137950477,25,25,below_cohort_completeness,,,,,,0.6527777777777778,
ACAT1,72,-1.3011939339962284,0.5590352894878929,0,0,tested,-1.4325607866323993,-1.1698270813600575,-19.750088876365155,1.4658815116348774e-30,1.9775895636025632e-29,1.0,488.0
ACAT2,72,-0.21398143142920587,0.36760058693136993,0,0,tested,-0.3003633343974782,-0.12759952846093356,-4.939308366442117,5.0259452495758195e-06,7.765003460595367e-06,1.0,4739.0
ACBD3,72,0.07625962837702638,0.15651355063572042,0,0,tested,0.039480747099672184,0.11303850965438057,4.134366651613459,9.618807771378012e-05,0.0001375286309083588,1.0,6745.0
ACBD4,64,-0.1539240753273326,0.5174653036395782,8,8,tested,-0.2831830622786794,-0.024665088375985772,-2.3796621608399526,0.02036857402918265,0.024749680428276518,0.8888888888888888,5488.0
ACBD5,14,-0.1864673431433146,0.4638674537750048,58,58,below_cohort_completeness,,,,,,0.19444444444444445,
ACBD5.1,72,-0.3464571536770175,0.41222153690060914,0,0,tested,-0.4433244658302174,-0.24958984152381763,-7.131569241070777,6.733881360605519e-10,1.3076534179230079e-09,1.0,3547.0
ACBD6,72,0.5456734895447496,0.2289644868590675,0,0,tested,0.4918694729294747,0.5994775061600245,20.222319892341254,3.5154554397644755e-31,5.332105105812257e-30,1.0,2382.0
ACBD7,19,0.10040800825816955,0.7435352222970201,53,53,below_cohort_completeness,,,,,,0.2638888888888889,
ACCS,32,-0.4168441705864937,0.8606916039403545,40,40,below_cohort_completeness,,,,,,0.4444444444444444,
