gene,n_all,mean_difference_all,sd_difference_all,tumor_nonfinite_all,normal_nonfinite_all,status_all,ci95_low_all,ci95_high_all,t_all,p_all,q_all,finite_fraction_all,abs_effect_rank_all,n_early,mean_difference_early,sd_difference_early,tumor_nonfinite_early,normal_nonfinite_early,status_early,ci95_low_early,ci95_high_early,t_early,p_early,q_early,finite_fraction_early,abs_effect_rank_early
CTF1,72,-0.25212921109997655,0.6077623942371863,0,0,tested,-0.39494637198923005,-0.10931205021072304,-3.520104763199901,0.0007576774558103937,0.001025602391444859,1.0,4357.0,37,-0.09366738627313301,0.5944561829290478,0,0,tested,-0.29186894558750454,0.10453417304123849,-0.9584498973933414,0.3442289683916135,0.3795200637195608,1.0,6568.0
CTGF,72,-0.8435923878846856,0.6680527293352237,0,0,tested,-1.000577082944214,-0.6866076928251572,-10.714900878393795,1.7519192584198767e-16,5.077350740307193e-16,1.0,1328.0,37,-0.8483676358337344,0.6665454786509057,0,0,tested,-1.0706049630184058,-0.626130308649063,-7.742035663660731,3.5794193845797592e-09,9.785924463521472e-09,1.0,1452.0
CTH,72,-1.253863716724533,0.6089212774707636,0,0,tested,-1.396953201822706,-1.11077423162636,-17.472515471208933,2.0299227006450024e-27,1.618712616930183e-26,1.0,556.0,37,-1.4042415194311166,0.6060766386130134,0,0,tested,-1.6063175315691716,-1.2021655072930617,-14.093378879331105,3.174377746954312e-16,3.002478694692342e-15,1.0,453.0
CTHRC1,72,1.5735207182654105,1.0592861215507456,0,0,tested,1.324600683258727,1.822440753272094,12.604494452480523,8.693807528574049e-20,3.164027376192291e-19,1.0,248.0,37,1.7933845096864993,0.9608782608904158,0,0,tested,1.4730117470021669,2.1137572723708318,11.35287636524267,1.8844054194000696e-13,9.430189744237849e-13,1.0,176.0
CTIF,72,-0.21979696621271116,0.30142145431861933,0,0,tested,-0.2906275354369317,-0.14896639698849062,-6.187479613005289,3.490675846393833e-08,6.154532238803837e-08,1.0,4687.0,37,-0.1639677351351998,0.30470368157018274,0,0,tested,-0.2655610006278193,-0.06237446964258028,-3.2732679510750486,0.0023516223910944006,0.003399637160668648,1.0,5514.0
CTNNA1,72,-0.3263177758020419,0.20778487733685103,0,0,tested,-0.3751448281803267,-0.27749072342375714,-13.325792428133337,5.324696205135299e-21,2.1146500609546205e-20,1.0,3702.0,37,-0.3319953585699483,0.19853609986542253,0,0,tested,-0.39819058994870443,-0.2658001271911921,-10.171696375173505,3.934375416045825e-12,1.5797792636057422e-11,1.0,3796.0
CTNNAL1,72,-0.7474123523139754,0.41135794030385425,0,0,tested,-0.8440767292160448,-0.650747975411906,-15.417240049580707,2.351437745216148e-24,1.327153440782821e-23,1.0,1621.0,37,-0.6628919332953653,0.4012975658579253,0,0,tested,-0.7966912032603912,-0.5290926633303394,-10.047940871172774,5.466380435084798e-12,2.1345542529469222e-11,1.0,2021.0
CTNNB1,72,-0.20053573782644574,0.20762108833566373,0,0,tested,-0.24932430167639075,-0.15174717397650073,-8.195709668455867,7.250050895386245e-12,1.587167978022311e-11,1.0,4895.0,37,-0.19207341394485633,0.20158903869087624,0,0,tested,-0.25928654580656285,-0.12486028208314978,-5.795637366979069,1.303430335142764e-06,2.678739801855027e-06,1.0,5159.0
CTNNBL1,72,0.0025009251351629344,0.1539334734342374,0,0,tested,-0.03367166772374876,0.03867351799407463,0.1378586021241771,0.89074239479911,0.8994532657612879,1.0,8023.0,37,-0.009560100864461636,0.15911205520747493,0,0,tested,-0.06261070131822116,0.04349049958929788,-0.36547716795180296,0.7168939662318696,0.7438441756373017,1.0,7919.0
CTNND1,72,-0.01620008116695309,0.2284512214842743,0,0,tested,-0.0698834863322505,0.03748332399834433,-0.6017137754571492,0.5492812782909466,0.5755804599733652,1.0,7773.0,37,-0.0488294693389388,0.190097396371138,0,0,tested,-0.11221109689088701,0.014552158213009404,-1.5624520489978586,0.12693058290399245,0.1496555801056403,1.0,7288.0
