gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q,finite_fraction,abs_effect_rank
DCC,37,-0.40769173011290044,0.2816177420160337,0,0,tested,-0.5015877601333879,-0.313795700092413,-8.805879779058857,1.6555535025100326e-10,6.172835501671056e-10,1.0,7141.0
DCD,37,-0.1412324889797499,0.1810368542785234,0,0,tested,-0.2015931813937351,-0.0808717965657647,-4.74535251648312,3.262884915948103e-05,6.384345524481056e-05,1.0,12626.0
DCDC1,37,-0.1755161143404717,0.5784176670632317,0,0,tested,-0.3683701662270797,0.017337937546136273,-1.8457645825279545,0.0731630299881794,0.09418756769915379,1.0,11712.0
DCDC2,37,-1.2782691318753643,1.1610993385032085,0,0,tested,-1.665398925489924,-0.8911393382608046,-6.696591171115212,8.236443950807351e-08,2.1637824629100145e-07,1.0,1770.0
DCDC2B,37,-0.06865404226550333,0.3254002207239523,0,0,tested,-0.17714787747290983,0.03983979294190318,-1.283361870244037,0.20756543085854307,0.24562556111119288,1.0,14872.0
DCDC2C,37,-0.07671935651341166,0.1981478647908421,0,0,tested,-0.14278514387363106,-0.01065356915319228,-2.3551383086613975,0.024085581024792687,0.03324664417163786,1.0,14567.0
DCHS1,37,0.7160923350309806,0.5341754629288011,0,0,tested,0.5379893684198966,0.8941953016420645,8.154286233736617,1.070870263736906e-09,3.5793445906668277e-09,1.0,4129.0
DCHS2,37,0.5115552611108285,0.7567678374563965,0,0,tested,0.25923630181635476,0.7638742204053022,4.111788345710659,0.00021727301737223639,0.00038665153105615305,1.0,5856.0
DCK,37,0.8655911975415844,0.4218812429309947,0,0,tested,0.7249289879529786,1.0062534071301903,12.480255501245685,1.222509954724986e-14,9.183389910096548e-14,1.0,3261.0
DCLK1,37,1.1092756056097004,0.8444321429581005,0,0,tested,0.8277279116403902,1.3908232995790106,7.990529666409619,1.7255518082475665e-09,5.618662842658414e-09,1.0,2210.0
