gene,protein_n,protein_mean_difference,protein_sd_difference,protein_tumor_nonfinite,protein_normal_nonfinite,protein_status,protein_ci95_low,protein_ci95_high,protein_t,protein_p,protein_q,rna_n,rna_mean_difference,rna_sd_difference,rna_tumor_nonfinite,rna_normal_nonfinite,rna_status,rna_ci95_low,rna_ci95_high,rna_t,rna_p,rna_q,same_direction,joint_pair_n,joint_protein_mean,joint_rna_mean
AASS,72,-1.583641449286786,0.6008712017174856,0,0,tested,-1.7248392593242314,-1.4424436392493407,-22.36360014375157,7.2165633552839715e-34,2.4296570517974528e-32,72,-1.4629240861840296,0.7085370291440629,0,0,tested,-1.6294221252972727,-1.2964260470707865,-17.519652452629114,1.7371339842148647e-27,1.7385054057813502e-26,True,72.0,-1.5836414492867863,-1.4629240861840296
AATF,72,0.4096891365641014,0.19924205450431237,0,0,tested,0.36286954913345354,0.45650872399474923,17.447760255052028,2.203188471401713e-27,2.171374256736089e-26,72,0.5054553984565165,0.2598208867053429,0,0,tested,0.44440048336003546,0.5665103135529976,16.507261338444263,5.227114210372559e-26,4.475172296723737e-25,True,72.0,0.40968913656410133,0.5054553984565167
ABAT,72,-2.137005413365489,0.7858127069286281,0,0,tested,-2.3216623464998674,-1.952348480231111,-23.07559049477693,1.0168038738240865e-34,4.2684490653042086e-33,72,-3.582891230522505,1.334791037177141,0,0,tested,-3.8965517467334925,-3.269230714311518,-22.77647914730542,2.3031049642403e-34,5.800468992719114e-33,True,72.0,-2.1370054133654897,-3.582891230522505
ABCA1,64,0.6243689230738003,0.7136616987832537,8,8,tested,0.4461015347834502,0.8026363113641504,6.999046457315092,2.0061557389823256e-09,4.376551539293253e-09,72,1.5992401286876465,0.49666701859256845,0,0,tested,1.4825291011951518,1.7159511561801413,27.32213327823179,2.090845806359848e-39,1.1727856344522865e-37,True,64.0,0.6243689230738005,1.6075870315670993
ABCA12,23,0.2309010684955693,0.5840450513809624,49,49,tested,-0.02165895089079567,0.48346108788193426,1.8960226106518745,0.07116805212992232,0.08468086658201028,72,1.2559413119397356,0.9062329307009018,0,0,tested,1.04298701352597,1.4688956103535011,11.759686787255243,2.482216303864515e-18,1.0267422888401947e-17,True,23.0,0.23090106849556924,1.332780764032449
ABCA2,68,-0.09035196433839177,0.4351545660192366,4,4,tested,-0.19568180886990705,0.01497788019312353,-1.7121764151855923,0.09148938287304313,0.10749654272927062,72,-0.2048896158002191,0.5421021938240709,0,0,tested,-0.3322773860339513,-0.07750184556648695,-3.2070448349609673,0.0020120887130013624,0.002880580249790762,True,68.0,-0.09035196433839177,-0.218102099073105
ABCA3,7,-0.093232431673086,0.692690413909894,65,65,insufficient_pairs,,,,,,72,0.662352277838012,0.5422062276168114,0,0,tested,0.5349400608615122,0.7897644948145117,10.365512530216307,7.455181831242281e-16,2.5418734538474444e-15,False,7.0,-0.093232431673086,0.9879884115399842
ABCA5,11,-0.04179159799232816,0.5106038394839065,61,61,insufficient_pairs,,,,,,72,-0.35266312715937725,0.4894969393859377,0,0,tested,-0.4676892686415632,-0.23763698567719133,-6.113308630734534,4.7351983488166817e-08,9.46790710859613e-08,True,11.0,-0.04179159799232815,-0.3623257368219609
ABCA6,16,-0.12940888857183724,0.8459435161811286,56,56,insufficient_pairs,,,,,,72,-1.2322936582738313,0.9667326184191185,0,0,tested,-1.4594646863117569,-1.0051226302359058,-10.816184565327232,1.1538106183126251e-16,4.171047320763226e-16,True,16.0,-0.12940888857183724,-0.7115817107095928
ABCA8,49,-0.8013334113519938,0.647464171497587,23,23,tested,-0.9873068352847687,-0.6153599874192188,-8.663543291499122,2.2297709211149282e-11,5.5942214682535825e-11,72,-2.326704223649129,0.8142406232729649,0,0,tested,-2.518041389619221,-2.1353670576790367,-24.246812856048866,4.4690688513212784e-36,1.4651611070323121e-34,True,49.0,-0.8013334113519938,-2.3008606923860286
