gene,protein_n,protein_mean_difference,protein_sd_difference,protein_tumor_nonfinite,protein_normal_nonfinite,protein_status,protein_ci95_low,protein_ci95_high,protein_t,protein_p,protein_q,rna_n,rna_mean_difference,rna_sd_difference,rna_tumor_nonfinite,rna_normal_nonfinite,rna_status,rna_ci95_low,rna_ci95_high,rna_t,rna_p,rna_q,same_direction,joint_pair_n,joint_protein_mean,joint_rna_mean
FCN3,72,0.46553434056056225,0.6818994481068631,0,0,tested,0.30529582611150163,0.6257728550096229,5.792921346385844,1.7468490101556774e-07,3.3224902595055756e-07,72,0.8654201650029401,1.4003513681744248,0,0,tested,0.5363537262986015,1.1944866037072788,5.243922185446278,1.5506134834555474e-06,2.798226761688074e-06,True,72.0,0.46553434056056214,0.8654201650029401
FCRL5,5,0.4333657210675817,0.190427526177875,67,67,insufficient_pairs,,,,,,72,0.24981678407618638,0.6221001303176352,0,0,tested,0.1036304203866194,0.39600314776575335,3.407434915359239,0.0010835671493888731,0.0015855351554928377,True,5.0,0.4333657210675817,0.4260495514571316
FDCSP,1,1.4231437484773029,,71,71,insufficient_pairs,,,,,,72,0.16988707118252794,0.6653229497131072,0,0,tested,0.013543842885636814,0.32623029947941906,2.1666765011648104,0.03361698382446958,0.04266063450495789,True,1.0,1.4231437484773029,0.0
FDFT1,19,-0.23348617276513697,0.5273065623832189,53,53,insufficient_pairs,,,,,,72,-0.657893258602167,0.360553334223991,0,0,tested,-0.7426191383724259,-0.573167378831908,-15.482894993798775,1.86179461444169e-24,1.345572960608466e-23,True,19.0,-0.23348617276513697,-0.5960923017007723
FDPS,72,0.20410251182502342,0.23069767192813986,0,0,tested,0.14989121668576016,0.2583138069642867,7.507085908364255,1.367909104533853e-10,3.239903693528835e-10,72,0.2113834669754907,0.26126890998582486,0,0,tested,0.14998828309011963,0.2727786508608618,6.865142106829394,2.0731039341066814e-09,4.565678863451303e-09,True,72.0,0.20410251182502348,0.2113834669754907
FDX1,72,-1.435756017527981,0.5586242090533696,0,0,tested,-1.5670262709979113,-1.304485764058051,-21.808567541542416,3.4365807859112185e-33,9.851204292870645e-32,72,-0.8711584420230569,0.4633991079563113,0,0,tested,-0.9800518937806282,-0.7622649902654857,-15.951745213125974,3.570002569256309e-25,2.7901191473246496e-24,True,72.0,-1.4357560175279807,-0.8711584420230566
FDX2,72,-0.7066341379354918,0.3691879040980244,0,0,tested,-0.7933890421511626,-0.619879233719821,-16.24102366970598,1.3064270670241745e-25,1.039443518116855e-24,72,-0.5077614999561723,0.35769235551523176,0,0,tested,-0.5918150826899183,-0.4237079172224262,-12.045264964993294,7.9189904327370895e-19,3.4090922136856635e-18,True,72.0,-0.7066341379354919,-0.5077614999561723
FDXR,72,0.4004920821184661,0.4756647307208048,0,0,tested,0.28871635031794773,0.5122678139189845,7.144292577211272,6.380851174793833e-10,1.4415464948594128e-09,72,1.133969108494238,0.5469774477586549,0,0,tested,1.0054357097514808,1.2625025072369953,17.59130471410889,1.3715917085215867e-27,1.3894947436088424e-26,True,72.0,0.4004920821184661,1.1339691084942383
FECH,72,-1.3844715482801555,0.6143085231528167,0,0,tested,-1.5288269740495828,-1.2401161225107282,-19.12333981871593,1.0121758565677748e-29,1.4486676703201832e-28,72,-1.3543263243922703,0.5078859504674468,0,0,tested,-1.4736736716271064,-1.2349789771574342,-22.626812032169592,3.4779462142964247e-34,8.533309324496324e-33,True,72.0,-1.3844715482801553,-1.3543263243922705
FEM1A,40,0.20809605723564228,0.31410786640301447,32,32,tested,0.10763948802159236,0.3085526264496922,4.190009760029854,0.00015451649418056008,0.0002349596826483115,72,-0.035495683535029875,0.2727951426915589,0,0,tested,-0.099599399317719,0.02860803224765924,-1.1040917348964785,0.2732812154993978,0.30728178775477794,False,40.0,0.20809605723564234,-0.016829301770877735
FEM1B,61,0.004657644002470786,0.3192905741574848,11,11,tested,-0.07711646906424863,0.08643175706919021,0.11393183985081717,0.9096722107999251,0.9169839536778507,72,0.18748095770198403,0.25675487413994247,0,0,tested,0.12714652023622386,0.2478153951677442,6.195904493505288,3.3716416993330866e-08,6.823304269137786e-08,True,61.0,0.004657644002470789,0.19411644509099168
FEN1,72,0.6546549150596667,0.27384371087300774,0,0,tested,0.5903047978344182,0.7190050322849151,20.285041929940707,2.9133204814339333e-31,5.6427305772638325e-30,72,0.717035974631629,0.37373639506087136,0,0,tested,0.6292122274408025,0.8048597218224556,16.27952771152995,1.1437081913490837e-25,9.386107578119476e-25,True,72.0,0.6546549150596668,0.7170359746316289
FER,72,0.10523920093719691,0.2526455922361849,0,0,tested,0.04587039737763595,0.16460800449675786,3.534533191924219,0.0007233913914638092,0.0010393506845992263,72,0.13244091495003749,0.3347411129977288,0,0,tested,0.053780609796988996,0.21110122010308596,3.3572166225673405,0.0012680479329597865,0.0018458188352775274,True,72.0,0.10523920093719691,0.1324409149500375
FERMT1,72,-1.1230768904187378,0.5625054394601463,0,0,tested,-1.2552591883203552,-0.9908945925171204,-16.94138892106316,1.1958750234443722e-26,1.0799472646460293e-25,72,-1.5742944256049016,0.774847557007399,0,0,tested,-1.7563746748323388,-1.3922141763774645,-17.239947453335418,4.394635627539223e-27,4.221129219913339e-26,True,72.0,-1.123076890418738,-1.5742944256049016
FERMT2,72,-0.5053477001963322,0.38060196493963616,0,0,tested,-0.5947847772135338,-0.4159106231791307,-11.266409065098543,1.8253286613703988e-17,6.918595564612472e-17,72,-0.6534738236033955,0.580046096453556,0,0,tested,-0.7897779738204644,-0.5171696733863265,-9.559428634855626,2.190903059742094e-14,6.736743480109301e-14,True,72.0,-0.505347700196332,-0.6534738236033955
FERMT3,72,1.1035623198620421,0.45450545872722314,0,0,tested,0.9967587732135842,1.2103658665105002,20.602693803193308,1.1321430120239323e-31,2.361494977055325e-30,72,1.7275073168692334,0.6690539180241775,0,0,tested,1.5702873540020443,1.8847272797364225,21.90912460834232,2.5845069468761424e-33,5.597312026748274e-32,True,72.0,1.103562319862042,1.7275073168692336
FES,72,0.38977128388760335,0.3049390980129855,0,0,tested,0.31811410892039355,0.46142845885481315,10.845834584464127,1.0212223432343661e-16,3.6710583194806146e-16,72,0.935422591919067,0.5854284710152061,0,0,tested,0.7978536456879204,1.0729915381502135,13.558144656833163,2.1959112833141032e-21,1.1696149314346688e-20,True,72.0,0.38977128388760335,0.935422591919067
FETUB,72,0.038591514453070956,0.6260790606508634,0,0,tested,-0.10852985202534246,0.1857128809314844,0.5230327595557639,0.6025799618550205,0.6329897138824647,72,-1.3297812756848795,0.743383311412239,0,0,tested,-1.5044677896828391,-1.1550947616869198,-15.1786677440259,5.518188467139793e-24,3.812803550242121e-23,False,72.0,0.038591514453070935,-1.3297812756848797
FEZ2,20,0.09257398043974377,0.3070537025966,52,52,tested,-0.0511315759200425,0.23627953679953004,1.3483095071675915,0.19341376453196474,0.21921828960112993,72,0.25173208555325793,0.3144598905855328,0,0,tested,0.17783763401625752,0.32562653709025835,6.7926550914521,2.8117823286604954e-09,6.1314267178301965e-09,True,20.0,0.09257398043974378,0.29737379251069335
FGA,72,-0.09063808773492621,0.7991024408819397,0,0,tested,-0.2784179552433005,0.09714177977344807,-0.9624419077045429,0.33909415857374753,0.37222784041941986,72,0.5286870866100558,2.3284711028335554,0,0,tested,-0.018476797290233216,1.075850970510345,1.9266112786856577,0.05803113655179123,0.0716022361645779,False,72.0,-0.09063808773492615,0.5286870866100561
FGB,72,0.16129753064236538,0.7987511250925613,0,0,tested,-0.026399781702855785,0.34899484298758654,1.7134935895229377,0.09098516868823472,0.10695421176907546,72,-0.5086962171246181,2.666721829338597,0,0,tested,-1.1353451249194992,0.11795269067026315,-1.6186279681760833,0.10996144885072867,0.13105910429338133,False,72.0,0.1612975306423653,-0.5086962171246181
FGD2,46,0.5900595896765242,0.3887568166782595,26,26,tested,0.474613065566028,0.7055061137870203,10.294298839795715,2.0797209127398442e-13,5.965077163384465e-13,72,1.6502588860788219,0.6881704733574103,0,0,tested,1.4885467529415368,1.811971019216107,20.348026442343045,2.4134239900106334e-31,3.9870770781974104e-30,True,46.0,0.5900595896765242,1.5681206403267793
FGD3,72,-0.21308423235097343,0.40529791367855994,0,0,tested,-0.30832457281093284,-0.11784389189101405,-4.461112694859858,2.9913456332585576e-05,4.821232247145881e-05,72,0.12358064058067347,0.5905363886563324,0,0,tested,-0.01518860745012196,0.2623498886114689,1.7757017651725284,0.08006718251865284,0.09722078388200407,False,72.0,-0.2130842323509734,0.12358064058067347
FGD4,72,-0.3932850324044204,0.26375895572145824,0,0,tested,-0.45526534835097127,-0.3313047164578696,-12.652211755616026,7.212806969538133e-20,3.2553347874663105e-19,72,-0.08638821532195361,0.4061657016790536,0,0,tested,-0.18183247596463475,0.00905604532072754,-1.804751881793093,0.07535397780828923,0.09183796231410202,True,72.0,-0.3932850324044204,-0.08638821532195361
FGD5,72,-0.08251464657555668,0.3303677670117948,0,0,tested,-0.1601472658052577,-0.004882027345855661,-2.1193350671660784,0.03756028357668291,0.04609692050456999,72,-0.2478275995273049,0.659713135424834,0,0,tested,-0.4028525860945926,-0.09280261296001721,-3.18757775368093,0.0021341720762872523,0.0030475579776661236,True,72.0,-0.0825146465755567,-0.24782759952730485
FGD6,45,0.3376657624001868,0.31144295128460453,27,27,tested,0.24409794132260065,0.43123358347777296,7.2730199410851215,4.558218031551973e-09,9.70556059222431e-09,72,0.7610844853141697,0.4875849820087451,0,0,tested,0.6465076317888253,0.8756613388395141,13.24490344401634,7.259538895367903e-21,3.710756239124212e-20,True,45.0,0.3376657624001868,0.7003910579328539
FGF1,72,-1.7551856463343234,0.6068614057885738,0,0,tested,-1.8977910853180346,-1.6125802073506121,-24.54142565520177,2.0747664518639134e-36,1.4064953926723407e-34,72,-3.246741652402743,0.8752460308808548,0,0,tested,-3.4524143863448975,-3.0410689184605886,-31.476311229165464,1.9281799870366435e-43,2.048287287905127e-41,True,72.0,-1.7551856463343236,-3.246741652402742
FGF2,72,0.0373253609110876,0.6055342803376941,0,0,tested,-0.10496821888088076,0.17961894070305595,0.5230359370388706,0.6025777621250626,0.6329897138824647,72,0.0013156905558336265,0.8864195071928854,0,0,tested,-0.2069826815950659,0.20961406270673316,0.012594493326338054,0.9899866369203139,0.9911333597135664,True,72.0,0.03732536091108761,0.0013156905558336434
FGFR1,8,0.16960385912292597,0.4947890867864436,64,64,insufficient_pairs,,,,,,72,0.18458933730243807,0.6455170655092011,0,0,tested,0.03290026361880405,0.3362784109860721,2.426415271391602,0.017790422385765475,0.02325301633663256,True,8.0,0.169603859122926,0.24639421830452612
FGFR1OP,72,0.755357567542073,0.37781757057825227,0,0,tested,0.6665747911220448,0.8441403439621011,16.964328813361544,1.1069156864954523e-26,1.0014143446897091e-25,72,0.5582666234019358,0.5235321431255284,0,0,tested,0.4352426011451808,0.6812906456586908,9.048249364653989,1.9120950479770262e-13,5.508861717770175e-13,True,72.0,0.755357567542073,0.5582666234019354
FGFR1OP2,72,-0.2507948184236459,0.18827719776112048,0,0,tested,-0.29503779084081383,-0.20655184600647802,-11.302827038172305,1.5738761776938817e-17,5.999505961551184e-17,72,0.1098476067709901,0.31516010729513594,0,0,tested,0.03578861237411393,0.18390660116786628,2.9575058205755043,0.0042092581304197345,0.005852991946914355,False,72.0,-0.2507948184236459,0.10984760677099012
FGFR3,13,0.47647807667833064,1.1229489882821793,59,59,insufficient_pairs,,,,,,72,-1.8337516813965,0.9154859934377755,0,0,tested,-2.0488803429530678,-1.6186230198399323,-16.996326649087035,9.938796254882737e-27,9.232350307112616e-26,False,13.0,0.4764780766783308,-1.4001986010972791
FGFR4,9,-0.045669080683165664,0.5781932782426231,63,63,insufficient_pairs,,,,,,72,-0.7457610527026519,0.9270664095768067,0,0,tested,-0.9636109786391396,-0.5279111267661643,-6.825824239515919,2.4459335435246266e-09,5.3606992081743635e-09,True,9.0,-0.04566908068316568,-0.583831868981061
FGFRL1,7,-0.17139805151351453,0.2861106882740293,65,65,insufficient_pairs,,,,,,72,-0.31787532492704074,0.5616663707908826,0,0,tested,-0.44986045135791286,-0.18589019849616858,-4.802248655434787,8.449676518764824e-06,1.4533749344578302e-05,True,7.0,-0.17139805151351453,-0.6576334658372657
FGG,72,0.1347800523498545,0.8325311106792572,0,0,tested,-0.0608551674442587,0.3304152721439677,1.3736984157745469,0.17385720399326288,0.19823949626825849,72,1.6307312042688964,3.0428785239086884,0,0,tested,0.9156898067817011,2.345772601756092,4.547408976483917,2.181526285744682e-05,3.6464242548729895e-05,True,72.0,0.1347800523498545,1.6307312042688968
FGGY,68,-0.26658919083860905,0.5652024018402758,4,4,tested,-0.4033973177974413,-0.12978106387977678,-3.8894929989563356,0.00023344165142859138,0.00034967454296552065,72,-0.2663082986845494,0.6623910073669104,0,0,tested,-0.42196255430766993,-0.11065404306142887,-3.4114304413880423,0.0010700333335822137,0.0015670582130364907,True,68.0,-0.26658919083860905,-0.2582432285347075
FGL1,72,-1.2301435474281077,0.6933684891621715,0,0,tested,-1.3930771543955156,-1.0672099404606998,-15.05420897226571,8.635870866615306e-24,5.73040293682218e-23,72,0.05207559743596026,0.4141413773033071,0,0,tested,-0.04524285509425808,0.1493940499661786,1.0669692071171146,0.28960039287433126,0.3243654044003893,False,72.0,-1.2301435474281077,0.05207559743596027
FGL2,72,0.3690722910118292,0.6213214205252197,0,0,tested,0.22306891515231553,0.5150756668713429,5.040357749171012,3.4132446621594122e-06,5.88403499921742e-06,72,0.18048118516507106,0.6795778046700922,0,0,tested,0.020788230177044453,0.34017414015309766,2.2535074399981756,0.027316691560739858,0.03501360903454455,True,72.0,0.36907229101182926,0.18048118516507106
FGR,31,0.5203621738796104,0.6147891718664186,41,41,tested,0.29485568504234816,0.7458686627168726,4.712597586414826,5.2391748845041424e-05,8.253201698261902e-05,72,1.4604072003307755,0.627513406304993,0,0,tested,1.3129487791480912,1.60786562151346,19.74773111022222,1.4764574851666399e-30,2.1662684475650973e-29,True,31.0,0.5203621738796104,1.572156740980935
FH,72,-0.98821238731604,0.4109265138594505,0,0,tested,-1.084775383973944,-0.8916493906581359,-20.405741369982863,2.031781417099703e-31,4.0286290430358345e-30,72,-0.9140082860865202,0.40231934031946354,0,0,tested,-1.0085486961218924,-0.8194678760511479,-19.27726735600452,6.2723610094067385e-30,8.434861711023276e-29,True,72.0,-0.98821238731604,-0.9140082860865202
FHIT,72,-1.2025858491177905,0.37835889958847957,0,0,tested,-1.2914958316188148,-1.1136758666167663,-26.96984085095052,4.850700597874709e-39,5.887210710350195e-37,72,-1.1177451863398287,0.4122263703799084,0,0,tested,-1.2146136343049796,-1.0208767383746777,-23.007704242825,1.2232482124091517e-34,3.2350576855299054e-33,True,72.0,-1.20258584911779,-1.1177451863398289
FHL1,72,0.6494234456502667,0.8943214657674676,0,0,tested,0.43926820426924185,0.8595786870312915,6.161700102592456,3.88136364621583e-08,7.749596310941975e-08,72,1.7145181486281431,1.1563121117685153,0,0,tested,1.442798123712965,1.9862381735433212,12.581524282486118,9.512527335999892e-20,4.414955023042176e-19,True,72.0,0.6494234456502667,1.7145181486281433
FHL2,72,-1.24785225365774,0.834127613388161,0,0,tested,-1.443862633195858,-1.0518418741196223,-12.693953917619973,6.127089027189623e-20,2.7765620690963637e-19,72,0.25209952496704324,0.9687809493137804,0,0,tested,0.024447162766768754,0.47975188716731776,2.2080692288307935,0.030470474783404727,0.038851745323304564,False,72.0,-1.2478522536577397,0.25209952496704324
FHL3,72,-0.590343234321097,0.5817446562794631,0,0,tested,-0.7270465265289124,-0.4536399421132816,-8.610699550949011,1.2328350174252763e-12,3.3565898859776927e-12,72,0.3115668809949777,0.6362025683812759,0,0,tested,0.16206660682828491,0.4610671551616705,4.15548880738234,8.931519026485493e-05,0.00014242941486801547,False,72.0,-0.5903432343210968,0.31156688099497765
FHL5,72,-0.3905020147697361,0.8488936117785678,0,0,tested,-0.5899822338171905,-0.19102179572228173,-3.903338918508202,0.00021357515385121137,0.00032097056899179206,72,0.5160475117879373,1.120465980803541,0,0,tested,0.2527509146824174,0.7793441088934572,3.9080243532749512,0.00021019956693329602,0.0003254841014036339,False,72.0,-0.390502014769736,0.5160475117879374
FHOD1,72,0.4325581644735028,0.3204565395112851,0,0,tested,0.3572545695236388,0.5078617594233668,11.453589750046534,8.534067171335915e-18,3.316123002711589e-17,72,0.475423667484974,0.3734988347869808,0,0,tested,0.38765574422168697,0.563191590748261,10.800846521738757,1.2290621159983928e-16,4.432128984583622e-16,True,72.0,0.4325581644735029,0.4754236674849742
FHOD3,72,-0.7937867559848285,0.5206545477703612,0,0,tested,-0.9161345764845977,-0.6714389354850593,-12.936608360609323,2.3836400688662895e-20,1.1123284098109527e-19,72,-1.4341665198779199,0.7832955566075406,0,0,tested,-1.6182319516857964,-1.2501010880700434,-15.536034075543627,1.5418198629080855e-24,1.1241451186041889e-23,True,72.0,-0.7937867559848283,-1.4341665198779192
FIBP,72,-0.1380402449650512,0.19736880666555257,0,0,tested,-0.18441964073443412,-0.09166084919566829,-5.934627357209995,9.830788248171729e-08,1.9059381351479606e-07,72,0.3294909898354201,0.3059433775758367,0,0,tested,0.25759782074079224,0.4013841589300479,9.138369920548113,1.3037675836020508e-13,3.801739089433062e-13,False,72.0,-0.13804024496505118,0.32949098983541997
FIG4,72,-0.05171125927752474,0.22854535952442714,0,0,tested,-0.10541678579773617,0.001994267242686691,-1.9199015289527435,0.05888838213913039,0.07059710096808403,72,0.2892692226002216,0.31494314351289615,0,0,tested,0.21526121219262984,0.36327723300781334,7.793567814470054,4.0358080700276334e-11,9.954714029261311e-11,False,72.0,-0.05171125927752475,0.2892692226002217
FIGN,18,-0.5331653086783215,0.7901819184430533,54,54,insufficient_pairs,,,,,,72,-0.1752070207675557,0.6393245996801123,0,0,tested,-0.3254409363219603,-0.024973105213151103,-2.325392876636743,0.022913122648181322,0.029592679967069744,True,18.0,-0.5331653086783213,-0.2197079828849745
FIGNL1,7,0.4427061707004421,0.6646865658235179,65,65,insufficient_pairs,,,,,,72,0.7024701232081942,0.3755713642479878,0,0,tested,0.6142151793982479,0.7907250670181406,15.870902895785667,4.736834258733623e-25,3.6421715903687765e-24,True,7.0,0.4427061707004421,0.6356681192392871
FILIP1,72,0.37291985926001536,0.6304045965580252,0,0,tested,0.22478204167596758,0.5210576768440631,5.019522308593158,3.6977090790537957e-06,6.359121561560976e-06,72,0.7672135406256383,0.7538054274109419,0,0,tested,0.5900779494364821,0.9443491318147945,8.636211056073192,1.1057139939434276e-12,3.025201668321479e-12,True,72.0,0.37291985926001536,0.7672135406256382
FILIP1L,72,0.1311774520300182,0.744367385605341,0,0,tested,-0.043740308066245515,0.30609521212628193,1.4953336376031576,0.13925915743707065,0.16037501452779268,72,0.24191880054444473,0.8662328228522786,0,0,tested,0.038364066651900314,0.4454735344369891,2.36974291227934,0.02052159448278461,0.02665970616179199,True,72.0,0.13117745203001824,0.24191880054444473
FIP1L1,72,-0.0818814808002997,0.264297691498401,0,0,tested,-0.14398839344790013,-0.019774568152699255,-2.628806176818459,0.010495877772309302,0.013622916130605334,72,0.08863420593012611,0.24885186495836079,0,0,tested,0.03015688457503255,0.14711152728521967,3.022224393717796,0.0034883733406954505,0.0048862923810920065,False,72.0,-0.0818814808002997,0.08863420593012611
FIS1,72,-0.546515321601832,0.3433997247485318,0,0,tested,-0.6272103007643577,-0.46582034243930637,-13.504193349368299,2.6956989018090637e-21,1.3550073688301771e-20,72,-0.07688043808876793,0.3792609829157009,0,0,tested,-0.1660023997791939,0.012241523601658047,-1.7200613264848383,0.0897775776862163,0.10831983754463216,True,72.0,-0.546515321601832,-0.07688043808876789
FITM2,68,-0.16822596289283734,0.4311528542504937,4,4,tested,-0.2725871868206038,-0.06386473896507089,-3.217482649786314,0.0019933972297480943,0.0027528911777099287,72,-0.26437962557147204,0.4709697786339669,0,0,tested,-0.37505209772000936,-0.15370715342293473,-4.763226037765105,9.785226268367724e-06,1.676421997414292e-05,True,68.0,-0.16822596289283734,-0.2670580639948625
FIZ1,35,-0.031620796542922644,0.46499433163079607,37,37,tested,-0.1913519381039383,0.12811034501809304,-0.4023084636257991,0.6899752096688807,0.7161722820823381,72,-0.15930092897821918,0.24133665031029491,0,0,tested,-0.21601226147041638,-0.10258959648602198,-5.600944588481856,3.779938530490022e-07,7.123442136498292e-07,True,35.0,-0.03162079654292267,-0.12045875140433289
FJX1,4,-0.11737061926710184,0.3169774988396117,68,68,insufficient_pairs,,,,,,72,0.8596849828131239,0.6065001199447969,0,0,tested,0.717164441840489,1.0022055237857588,12.027481499988424,8.500541963871078e-19,3.648708926478748e-18,False,4.0,-0.11737061926710184,0.7835257960436475
FKBP10,72,1.4173594792713216,0.5223905256232659,0,0,tested,1.294603723975538,1.5401152345671052,23.022419818415223,1.175161593123574e-34,4.8520149233781146e-33,72,2.575762964941778,1.098150815805914,0,0,tested,2.3177101745277473,2.833815755355809,19.90261555725767,9.218886930939066e-31,1.3990194332945438e-29,True,72.0,1.4173594792713209,2.5757629649417786
FKBP11,72,0.8137510206019469,0.5512762691468371,0,0,tested,0.6842074483577496,0.9432945928461443,12.525310383970375,1.1859524821718013e-19,5.278909163101012e-19,72,0.9267587470421957,0.5933206635409254,0,0,tested,0.7873352264898964,1.066182267594495,13.25389324511095,7.013433158640867e-21,3.5907493675701693e-20,True,72.0,0.8137510206019469,0.926758747042196
FKBP14,61,0.5710911812246825,0.4578730972199136,11,11,tested,0.4538244359689879,0.6883579264803771,9.741486757259597,5.707022558320206e-14,1.697052677167357e-13,72,0.2730490370052477,0.45674576858465005,0,0,tested,0.16571904334989407,0.3803790306606013,5.072620410111163,3.0145293278354242e-06,5.341154972865318e-06,True,61.0,0.5710911812246825,0.2585184630858348
FKBP15,72,0.19626735484353028,0.1788847407767642,0,0,tested,0.15423150161142454,0.238303208075636,9.309814370937113,6.299300200860705e-14,1.8698484886164335e-13,72,0.6122405857574651,0.25718393892291724,0,0,tested,0.5518053230107677,0.6726758485041625,20.199681444484668,3.7624903472170948e-31,6.027274974922752e-30,True,72.0,0.19626735484353028,0.6122405857574654
FKBP1A,72,0.5323572128640435,0.25253142984595445,0,0,tested,0.47301523615097324,0.5916991895771138,17.887677369554922,5.195259343270536e-28,5.6228734618158884e-27,72,0.5874307881964835,0.29923948987322607,0,0,tested,0.517112955479502,0.6577486209134651,16.657278515778827,3.1316401801892824e-26,2.7581351563825477e-25,True,72.0,0.5323572128640434,0.5874307881964834
FKBP1B,28,0.5539153125107183,0.33516849417470646,44,44,tested,0.4239505381129144,0.6838800869085223,8.74498760930723,2.322165928296737e-09,5.045104105370542e-09,72,-0.40633545061621973,0.5407469858068068,0,0,tested,-0.5334047625786353,-0.2792661386538042,-6.376125473288296,1.600726036073737e-08,3.319280869786489e-08,False,28.0,0.5539153125107183,-0.43055288601590264
FKBP2,72,-0.44070322202564355,0.3383161629372149,0,0,tested,-0.520203622727933,-0.3612028213233541,-11.05324324133783,4.358651298672119e-17,1.6112877111119148e-16,72,-0.27050670093064827,0.33217860598314264,0,0,tested,-0.3485648464567568,-0.19244855540453973,-6.909913611745472,1.716931057349348e-09,3.801076266794487e-09,True,72.0,-0.44070322202564355,-0.27050670093064816
FKBP3,72,-0.10060867980721276,0.25989933016853123,0,0,tested,-0.16168202821383132,-0.03953533140059419,-3.284706260309709,0.001587254981695624,0.0022084217489047563,72,0.010872112635942165,0.3767437704946061,0,0,tested,-0.07765833313519575,0.09940255840708008,0.2448691712334621,0.8072640707129447,0.8266088478517309,False,72.0,-0.10060867980721278,0.010872112635942165
FKBP4,72,-0.2529723731102182,0.23478173236207958,0,0,tested,-0.30814337540083864,-0.19780137081959775,-9.142712016617525,1.279945243373325e-13,3.717918536990322e-13,72,-0.6959048126181249,0.39684503643738966,0,0,tested,-0.7891588243081963,-0.6026508009280535,-14.879732899678542,1.62340478183971e-23,1.0699841222420135e-22,True,72.0,-0.25297237311021825,-0.6959048126181249
FKBP5,72,0.26154345950619295,0.39377083428070986,0,0,tested,0.16901184990644452,0.3540750691059414,5.635942665880008,3.285818130102529e-07,6.12193376031916e-07,72,0.17894499402576278,0.7588047849368494,0,0,tested,0.0006346114133620184,0.35725537663816354,2.001039865538544,0.04921178799380218,0.061244986497948066,True,72.0,0.261543459506193,0.17894499402576275
FKBP7,72,0.15258147981947076,0.44338666282601924,0,0,tested,0.04839072211316198,0.25677223752577955,2.9200174414672015,0.004687631562736501,0.006291083154282074,72,0.3756658462040663,0.4670468212347732,0,0,tested,0.2659152238497163,0.4854164685584163,6.825076764906595,2.4536319862498442e-09,5.376951967101624e-09,True,72.0,0.1525814798194707,0.37566584620406634
FKBP8,71,-0.954413855930652,0.5421563473163507,1,1,tested,-1.082740169677438,-0.826087542183866,-14.833422379861716,2.6842855543473475e-23,1.6821634582615202e-22,72,0.24363828150647487,0.2680308388279359,0,0,tested,0.18065412224434074,0.306622440768609,7.713065336655258,5.688844725498077e-11,1.3863050423599377e-10,False,71.0,-0.954413855930652,0.24063821565425889
FKBP9,72,0.4262156863952816,0.2981072409948077,0,0,tested,0.35616391912059964,0.4962674536699636,12.131741627977371,5.613589146177354e-19,2.366275755699462e-18,72,0.4590236532976064,0.4329426752478217,0,0,tested,0.3572871123517027,0.5607601942435101,8.996444745096122,2.383314189801289e-13,6.824080608202304e-13,True,72.0,0.42621568639528157,0.45902365329760664
FKBPL,64,0.4739168720758908,0.3401379257398734,8,8,tested,0.38895294619402854,0.558880797957753,11.146463507002798,1.5299959801148128e-16,5.422271165133139e-16,72,0.2413534574925145,0.3687469038208456,0,0,tested,0.15470218326141538,0.3280047317236136,5.553814760880824,4.562636186141092e-07,8.54511248689775e-07,True,64.0,0.47391687207589084,0.24889551352218703
FKRP,42,0.10052902767397376,0.3214908641403866,30,30,tested,0.00034542182262112253,0.2007126335253264,2.0265041209183408,0.04925123334332559,0.059541827224193954,72,-0.24753904873084545,0.29963020149418246,0,0,tested,-0.3179486941775394,-0.1771294032841515,-7.010102683635375,1.1252513036447818e-09,2.5246788836348702e-09,False,42.0,0.10052902767397376,-0.25682312139128005
FLAD1,72,-0.11956254386142502,0.2565836938986137,0,0,tested,-0.1798567559425633,-0.05926833178028674,-3.95396063977787,0.00017970464635153662,0.0002716584862794666,72,0.09286966176181734,0.2844105282284358,0,0,tested,0.026036464193581188,0.1597028593300535,2.7707315059253017,0.007134132438504652,0.009710488784407013,False,72.0,-0.11956254386142502,0.09286966176181737
FLCN,66,0.01658380429525624,0.26454682978311617,6,6,tested,-0.04844992351224579,0.08161753210275828,0.5092764222503906,0.6122831071661838,0.6425098226334403,72,0.06841420510997516,0.33931272792421013,0,0,tested,-0.011320376883282343,0.14814878710323265,1.710851767643313,0.09147466016259982,0.11022056035687444,True,66.0,0.016583804295256247,0.07855832682382062
FLG,18,-0.14547204031528876,1.767072548401375,54,53,insufficient_pairs,,,,,,72,-0.5600929437499299,0.4997166138838778,0,0,tested,-0.6775205910028702,-0.4426652964969896,-9.510482724410899,2.6942154353665618e-14,8.231122510201666e-14,True,18.0,-0.1454720403152887,-0.2652387733675854
FLG2,4,-1.7555330753512748,1.2984710679297728,68,68,insufficient_pairs,,,,,,72,-0.1067959920289291,0.19984118667827072,0,0,tested,-0.15375636861812553,-0.05983561543973266,-4.534570961417013,2.286842446709953e-05,3.816920418731516e-05,True,4.0,-1.7555330753512748,-0.11213896612742832
FLI1,14,0.4290364986035419,0.3229824375671009,58,58,insufficient_pairs,,,,,,72,1.2374701165794495,0.5521124064180825,0,0,tested,1.10773006170927,1.367210171449629,19.018377434245124,1.404831942788666e-29,1.797636567437852e-28,True,14.0,0.4290364986035419,1.0787638856202466
