gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q
TK2,72,-0.5909227476209816,0.42886119185569593,0,0,tested,-0.6917001869906655,-0.49014530825129776,-11.691768523763661,3.2616966762659325e-18,1.3089841101190439e-17
TKFC,72,-1.6470380880533297,0.7043886786255585,0,0,tested,-1.812561312586,-1.4815148635206594,-19.840724354755867,1.1124458881159228e-30,1.9276631425677123e-29
TKT,72,-0.3645449248901216,0.23183469285769623,0,0,tested,-0.4190234068487252,-0.31006644293151797,-13.342551207993889,4.994016191404682e-21,2.460951102571865e-20
TKTL1,8,0.611975717206025,0.6946674902600019,64,64,insufficient_pairs,,,,,
TLDC1,72,0.2115173737851095,0.25166857517342983,0,0,tested,0.15237815797952298,0.27065658959069605,7.131539688138758,6.734723587713728e-10,1.5170516783909258e-09
TLE1,70,0.04012983628832323,0.403783112267997,2,2,tested,-0.056148848358978265,0.13640852093562472,0.8315114940099912,0.4085531085325853,0.442752785854365
TLE2,23,-0.11964754984026085,0.38209997436085485,49,49,tested,-0.2848799693324341,0.04558486965191241,-1.5017260657263156,0.14738580884416888,0.16932575519678764
TLE3,67,0.5615628683549728,0.24896028358160813,5,5,tested,0.5008366836950526,0.622289053014893,18.463146470361718,9.120384930309823e-28,9.492201452883658e-27
TLE3.1,4,0.307255829607624,0.2548530575597188,68,68,insufficient_pairs,,,,,
TLK1,64,-0.08021599083716238,0.23291648566310444,8,8,tested,-0.13839679787741643,-0.022035183796908317,-2.7551846528609767,0.007659954232024663,0.01008560640549914
TLK2,72,0.1609670926530917,0.283348721625579,0,0,tested,0.09438340740393183,0.22755077790225156,4.820389043291566,7.891070333263044e-06,1.3230063512976029e-05
TLL2,7,0.17094310175632818,1.1786754787918519,65,65,insufficient_pairs,,,,,
TLN1,72,0.06843028753010552,0.2673520647117372,0,0,tested,0.005605632365427549,0.1312549426947835,2.171856218275552,0.033208300527709025,0.04101672771076014
TLN2,72,0.2785195171034823,0.4301974504787848,0,0,tested,0.17742807235180555,0.37961096185515897,5.493562242662909,5.799105599591429e-07,1.0590175915671789e-06
TLNRD1,36,0.05350078043321099,0.6011239004672451,36,36,tested,-0.14989028560000967,0.25689184646643165,0.5340075188322301,0.5967120500237278,0.6274826535885192
TLR1,17,0.7835190148926244,0.4622005571531067,55,55,insufficient_pairs,,,,,
TLR10,56,-1.863447511302113,1.4615302952236766,15,13,tested,-2.2548478803090966,-1.4720471422951293,-9.541207826228462,2.919808582239963e-13,8.272928411638957e-13
TLR2,53,0.8338783501694644,0.41408861855266677,19,19,tested,0.7197413912405057,0.9480153090984231,14.660451293600389,4.137899129343207e-20,1.900894778603498e-19
TLR3,72,1.2207234640489733,0.5153591104620767,0,0,tested,1.0996200103103055,1.341826917787641,20.0989598559798,5.093093639486005e-31,9.290728815447835e-30
TLR5,1,-0.10940912066719499,,71,71,insufficient_pairs,,,,,
TLR7,48,0.7600089605965713,0.4715793612861025,24,24,tested,0.6230765879444007,0.8969413332487419,11.165663657296854,8.102590664030663e-15,2.5668863950811382e-14
TLR8,24,0.8101730310610118,0.4523548124068777,48,48,tested,0.6191603460615792,1.0011857160604445,8.77413249526129,8.48525963315146e-09,1.7743353459651646e-08
TM2D1,35,0.16893740988474773,0.37178541155957673,37,37,tested,0.04122465262194461,0.2966501671475509,2.6882367197676147,0.011042257339971554,0.014306168374475027
