gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q
KLHL26,72,-0.2621582841256378,0.32025725384538734,8,8,tested,-0.3374150492398961,-0.18690151901137947,-6.945937300978503,1.4750930703802447e-09,3.082965689232281e-09
KLHL3,7,-0.5360170758573714,0.23599921311265834,73,73,insufficient_pairs,,,,,
KLHL36,80,0.2407874330839137,0.26408202569826966,0,0,tested,0.18201885707701898,0.29955600909080843,8.155300491650852,4.342406204772582e-12,1.0660439895290687e-11
KLHL42,15,-0.023065429689134002,0.7365261618854355,65,65,insufficient_pairs,,,,,
KLHL5,11,-0.06220495931915364,0.34080594573349077,69,69,insufficient_pairs,,,,,
KLHL7,16,0.41665553737055705,0.19502480194684335,64,64,insufficient_pairs,,,,,
KLHL8,16,-0.03888453673598203,0.20537722576800113,64,64,insufficient_pairs,,,,,
KLHL9,16,0.22513605941229364,0.3344024334288575,64,64,insufficient_pairs,,,,,
KLK1,3,-0.11785135136356778,0.35003671233480355,77,77,insufficient_pairs,,,,,
KLK6,44,-0.7523046103369793,0.8373399608163423,36,36,tested,-1.0068792266744362,-0.4977299939995223,-5.959615538018134,4.185804639069264e-07,7.418867446710661e-07
KLKB1,80,-0.03359055182971949,0.7418844471975162,0,0,tested,-0.19868884811920448,0.1315077444597655,-0.40497280985854417,0.6865920175936772,0.7112950945555799
KLRG2,14,-1.0376770996872067,1.2189893154004907,66,66,insufficient_pairs,,,,,
KMO,80,-1.0887938850739096,0.9723793870874465,0,0,tested,-1.3051863175633456,-0.8724014525844737,-10.015091528436152,1.0313691233564328e-15,3.140945764676462e-15
KMT2A,76,0.15449744728747125,0.30405145509853887,4,4,tested,0.08501871349772755,0.22397618107721495,4.4297683728751585,3.1630290284788896e-05,4.927518705071882e-05
KMT2B,76,0.14451765244467604,0.32416135950322084,4,4,tested,0.07044360864657447,0.21859169624277763,3.88656959934682,0.0002176896598766509,0.0003194975814431537
KMT2C,80,0.00017821240957179122,0.2855392498994671,0,0,tested,-0.06336543493370325,0.06372185975284683,0.005582350760910969,0.9955600243758314,0.9957554046180797
KMT2D,80,0.12133340203658141,0.2059826649881959,0,0,tested,0.07549420540268176,0.16717259867048107,5.268593547144469,1.160287791803393e-06,1.992387712576143e-06
KMT2E,35,0.2544978155815688,0.289541611587852,45,45,tested,0.15503679207587753,0.3539588390872601,5.200044903211776,9.448479265065575e-06,1.5301612511727585e-05
KMT5C,36,0.4931773145892866,0.6261247021832977,44,44,tested,0.28132719426000374,0.7050274349185695,4.7259976762096425,3.6603159825781944e-05,5.675327169215019e-05
KNDC1,27,0.7850869368539669,1.1398494682214453,53,53,tested,0.33417750484578124,1.2359963688621525,3.578921166962841,0.0013873137357777298,0.0019184491804073258
KNG1,80,0.23639508991522815,0.8098484272873236,0,0,tested,0.0561721507460248,0.41661802908443146,2.610836659241107,0.01080373313360426,0.01385710983148713
KNG1.1,80,-0.061061865586269734,0.794676413529849,0,0,tested,-0.2379084384869768,0.11578470731443731,-0.6872658101295246,0.49392795345028895,0.5260273356513212
KNL1,45,0.5427400384017023,0.421025723145713,35,35,tested,0.41624990796250116,0.6692301688409034,8.647478431314534,4.8364499417145484e-11,1.1033557353602595e-10
KNOP1,37,0.8133753472086844,0.4874017977719876,43,43,tested,0.6508674970000405,0.9758831974173283,10.150904464623707,4.157293358004561e-12,1.0218300264803592e-11
KNSTRN,16,0.15680606412855636,0.5476553503251245,64,64,insufficient_pairs,,,,,
KNTC1,35,0.4094101393157686,0.338999102037537,45,45,tested,0.2929598734239062,0.525860405207631,7.144865675584647,2.9301663898599914e-08,5.642770831634781e-08
KPNA1,80,0.047504786217115,0.17880903498145617,0,0,tested,0.007712784715908479,0.08729678771832153,2.3762542256118198,0.019910719986657936,0.024877417114979695
KPNA2,76,0.3487144257539804,0.33346330232947363,4,4,tested,0.27251479696519626,0.4249140545427645,9.116511060725912,8.941365320601114e-14,2.4130086500632023e-13
KPNA3,80,0.0413918315447264,0.1405235770648705,0,0,tested,0.010119841345237093,0.0726638217442157,2.6345742395812146,0.010134243654089234,0.013047662696239934
KPNA4,80,0.11016504055263907,0.14576333189500484,0,0,tested,0.07772700003534405,0.14260308106993408,6.759903638787875,2.142702717426652e-09,4.427441475517913e-09
KPNA6,80,0.10583572978056185,0.15880684337277653,0,0,tested,0.07049499797387912,0.1411764615872446,5.9608485682728185,6.658800358463397e-08,1.2531970467839255e-07
KPNB1,80,0.3207056102298832,0.1476269205617,0,0,tested,0.28785284837017694,0.35355837208958946,19.43059009863595,7.915097681526324e-32,9.199383200433047e-31
KPTN,80,0.07200249077297595,0.3490579078914353,0,0,tested,-0.005676541476510033,0.14968152302246193,1.844994315014928,0.06878594886212994,0.08152734613391749
KRAS,76,-0.19972279109309735,0.28521464163474863,4,4,tested,-0.26489712861651304,-0.13454845356968162,-6.1046758196345845,4.188434883893777e-08,7.984424307374092e-08
KRAS.1,8,0.02999067120450154,0.41918451286172104,72,72,insufficient_pairs,,,,,
KRBA1,41,0.8968990515250832,0.6078916169068295,39,39,tested,0.7050247818175737,1.0887733212325927,9.447335504597042,9.694544990513877e-12,2.327832675814086e-11
KRCC1,8,-0.005104939367799516,0.13536635003474917,72,72,insufficient_pairs,,,,,
KRI1,80,0.3716125156455262,0.21861774806516848,0,0,tested,0.32296151901047504,0.4202635122805774,15.203721630604297,3.5709736693482832e-25,2.0506442034742e-24
KRIT1,80,0.14406523872000263,0.21718087947794998,0,0,tested,0.09573400152543812,0.19239647591456713,5.933112854999134,7.484763340809801e-08,1.402687860505135e-07
KRR1,80,0.5045777125787991,0.23404563045077303,0,0,tested,0.4524934089013377,0.5566620162562606,19.282907578056328,1.3037627880241762e-31,1.4703397692040094e-30
KRT1,80,0.3035326785928866,1.0080150104039756,0,0,tested,0.07920992660558623,0.5278554305801869,2.693292047126495,0.008636887616177698,0.011193362424882298
KRT10,64,0.20282463032226844,1.116826825752786,16,16,tested,-0.07615041028729902,0.4817996709318359,1.4528635999448276,0.15122455863045828,0.1728450242341625
KRT13,15,0.057516374241053304,0.8040437716554922,65,64,insufficient_pairs,,,,,
KRT14,0,,,80,80,insufficient_pairs,,,,,
KRT15,4,-0.048968303078074205,0.5754381313845726,76,76,insufficient_pairs,,,,,
KRT17,49,-0.47136069658375296,0.9876503239693845,31,31,tested,-0.755046992262564,-0.18767440090494192,-3.3407824571204725,0.0016237227248970612,0.0022281375518141823
KRT18,80,-0.07221977565841023,0.48136873873653735,0,0,tested,-0.17934314096500484,0.03490358964818438,-1.341909556618513,0.18346958174701405,0.20790499685906774
KRT19,80,-0.9114670153795019,1.0771069899231123,0,0,tested,-1.151165434222965,-0.6717685965360388,-7.568801334333183,6.000573831110485e-11,1.3613142457268903e-10
KRT2,46,0.163744549661848,0.7540281496130203,34,34,tested,-0.060174170781673086,0.3876632701053691,1.4728489504202977,0.14775235635576067,0.16902803236074843
KRT20,12,-0.02596386359756686,0.8645791191598051,68,68,insufficient_pairs,,,,,
KRT23,20,0.03413887336304551,0.508949349387881,60,60,tested,-0.20405675428852788,0.2723345010146189,0.2999781475576609,0.7674510740392064,0.7869416485531374
KRT4,11,0.05775358336989056,0.18954233233358989,69,68,insufficient_pairs,,,,,
KRT5,24,0.08191187599480092,0.6123583319791557,56,56,tested,-0.1766643698303535,0.34048812181995536,0.6553101005841208,0.5187694280548288,0.5500121468860901
KRT6A,4,0.5588247850537733,0.2712904011454514,76,76,insufficient_pairs,,,,,
KRT6B,8,0.09150438822633639,0.21345842536916604,72,72,insufficient_pairs,,,,,
KRT7,80,-1.018554985513222,0.9007904932170331,0,0,tested,-1.2190160900769935,-0.8180938809494507,-10.113597794732197,6.652233047577182e-16,2.0491451028695745e-15
KRT75,10,0.24959283826198933,0.8075450533169859,70,70,insufficient_pairs,,,,,
KRT77,62,-0.23036584413300834,0.6864266871285803,18,18,tested,-0.4046855825577699,-0.056046105708246835,-2.6425290633650844,0.010441964191545599,0.013421808449486039
KRT78,64,0.4198962184075362,0.5268246089872409,16,16,tested,0.2882993465404312,0.5514930902746412,6.376258227036704,2.4092276958469823e-08,4.6630194700648525e-08
KRT8,80,-0.14078489895654475,0.5213671786467986,0,0,tested,-0.2568094810339815,-0.024760316879108013,-2.4152237974729776,0.018035536063162234,0.0226482960566481
KRT80,76,0.3849299004472952,0.8371658489478502,4,4,tested,0.19362930911132567,0.5762304917832647,4.008454330777298,0.00014290398858166742,0.00021205711975730616
KRT81,20,0.31550410611835467,0.4997817713738665,60,60,tested,0.08159903704931856,0.5494091751873907,2.8231867141596925,0.010860414979463193,0.013928058616717203
KRT84,44,0.4775126733641157,0.454071313404872,36,36,tested,0.339462376221729,0.6155629705065024,6.975690044423378,1.3954087117340574e-08,2.743182449123481e-08
KRT9,80,0.36305392317486385,1.115611706935787,0,0,tested,0.11478669930803728,0.6113211470416904,2.910737657806629,0.004683389027179447,0.006206160212433711
KRTCAP2,76,0.28607678347494253,0.3500565342469216,4,4,tested,0.2060854387651469,0.36606812818473816,7.124448009194143,5.423048690326291e-10,1.1634842201746133e-09
KRTDAP,8,0.19102800730960023,0.6113595202027803,72,72,insufficient_pairs,,,,,
KSR1,80,0.15988172243413395,0.2871643045362011,0,0,tested,0.09597643689650723,0.22378700797176068,4.979816698316806,3.6614634524068837e-06,6.090289975584753e-06
KSR2,57,0.05096052937961587,0.46033918844897836,23,23,tested,-0.07118389838084624,0.17310495714007798,0.8357827645440481,0.40682910938367606,0.43969983161359455
KTI12,80,0.024620209739847458,0.19649406592045193,0,0,tested,-0.019107402608687804,0.06834782208838272,1.120694659977948,0.2658131649173468,0.2954993554370723
KTN1,80,-0.573807229300984,0.24431785568531417,0,0,tested,-0.6281775047247612,-0.5194369538772069,-21.006601700866753,4.482816975646055e-34,7.276011693114688e-33
KXD1,80,-0.006504516934818455,0.21145040910225749,0,0,tested,-0.05356050041630395,0.04055146654666704,-0.27513859327685464,0.7839280844857461,0.8017035181261373
KYAT1,80,-0.18591107045995492,0.5066787043963575,0,0,tested,-0.2986668927150225,-0.07315524820488734,-3.281841432933141,0.0015369019734263589,0.002114250193055549
KYAT3,80,-0.7064443136526855,0.36740379152966296,0,0,tested,-0.7882060223136236,-0.6246826049917473,-17.19805341222834,1.9685971480029968e-28,1.543531594584196e-27
KYNU,80,-0.7022765747470527,0.6860478472725997,0,0,tested,-0.8549490444094605,-0.549604105084645,-9.15585212537604,4.8283913292273766e-14,1.3251425099303892e-13
L1CAM,80,-1.7262774976962636,0.6134746062271282,0,0,tested,-1.862799583699768,-1.5897554116927592,-25.168597322171518,1.773694267547097e-39,8.691954648609405e-38
L2HGDH,80,-1.212259276159608,0.46893982694407643,0,0,tested,-1.3166167226369039,-1.1079018296823122,-23.12189319053797,6.532443917410056e-37,1.7979075251310116e-35
L3HYPDH,80,-0.43770786856323146,0.46621864325013207,0,0,tested,-0.5414597452736207,-0.3339559918528422,-8.397300816379582,1.463517881899041e-12,3.693398804208201e-12
L3MBTL2,36,0.1987969050483699,0.27605173050324383,44,44,tested,0.10539443726472619,0.2921993728320136,4.320861992481526,0.00012222735810053697,0.00018238375949623383
L3MBTL3,72,-0.090435957531188,0.28599623348794,8,8,tested,-0.15764177756721237,-0.023230137495163616,-2.6831631194652736,0.009067082330220633,0.011727035933503225
