gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q
C19orf70,72,0.27271488953937184,0.3524937627204738,0,0,tested,0.18988291622175052,0.35554686285699316,6.564832679099073,7.299832927082501e-09,1.5496965848886208e-08
C19orf71,72,-1.1586973288484315,0.7374317093896867,0,0,tested,-1.3319852849368146,-0.9854093727600484,-13.3325875978328,5.188033040079956e-21,2.685827613861159e-20
C19orf73,72,-0.3823004068073992,0.29325068250789077,0,0,tested,-0.4512109387878761,-0.31338987482692227,-11.061957276636056,4.205897577046966e-17,1.579287962629306e-16
C19orf81,72,0.10174025985063853,0.5776866688187846,0,0,tested,-0.03400945205416106,0.23748997175543812,1.494399608850284,0.1395025340425379,0.16421969199646247
C19orf84,72,0.0754424200162535,0.08321508314586547,0,0,tested,0.0558878341604238,0.09499700587208319,7.692717920731954,6.204326390435243e-11,1.5084422236814491e-10
C1D,72,0.0424384609399947,0.24730851797111952,0,0,tested,-0.015676191653301863,0.10055311353329126,1.4560852376606799,0.14977701469420102,0.17567295425673773
C1GALT1,72,-0.0880515336372646,0.4716999211691117,0,0,tested,-0.19889558086991804,0.02279251359538885,-1.583935050261669,0.11765296730890454,0.13974459200317443
C1GALT1C1,72,0.16844158888673444,0.26925883519509913,0,0,tested,0.10516886462550934,0.23171431314795954,5.308179676971926,1.2057430679864088e-06,2.1931513715096194e-06
C1GALT1C1L,72,-0.12613767286710792,0.6119817807820893,0,0,tested,-0.2699463409847639,0.017670995250548077,-1.748930572412219,0.084624772579836,0.10244731970494567
C1QA,72,3.0042768874319288,0.8019413998967485,0,0,tested,2.815829897261441,3.1927238776024165,31.788026805030555,1.0026382342341308e-43,1.0894380585121142e-41
C1QB,72,3.2196647082919023,0.8956902232132076,0,0,tested,3.009187824679966,3.4301415919038387,30.501349989682108,1.5468296861204584e-42,1.4209162551488172e-40
C1QBP,72,-0.3847946776078862,0.419949160291478,0,0,tested,-0.4834778922314758,-0.2861114629842966,-7.774967590234256,4.369039450611425e-11,1.074043764103119e-10
C1QC,72,2.9344631511372428,0.7867375364994184,0,0,tested,2.7495888937082733,3.119337408566212,31.649367628403063,1.3402195192774557e-43,1.431700795452855e-41
C1QL1,72,1.8118346275887136,1.6154016467119208,0,0,tested,1.4322338509253498,2.1914354042520774,9.517092328073293,2.619996674446676e-14,8.013388574007325e-14
C1QL2,72,0.01652802815228926,0.0816209516691398,0,0,tested,-0.0026519551717798066,0.035708011476358326,1.718247172637859,0.09010981646826054,0.10868621377380108
