gene,n,finite_fraction,mean_difference,sd_difference,ci_low,ci_high,p_value,q_value,status,absolute_effect_rank
ACAT1,37,1.0,-1.4413322752817601,0.5411787596536071,-1.6217702572750685,-1.2608942932884517,4.10069774502144e-18,7.435502839459279e-17,tested,412.0
ACAT2,37,1.0,-0.21275542856794347,0.39699383682129147,-0.3451197638305925,-0.08039109330529443,0.0024389045736980114,0.003521410692286345,tested,4923.0
ACBD3,37,1.0,0.060010469538719156,0.1301652510426495,0.01661121410818219,0.10340972496925613,0.008075935080244857,0.010982022363198278,tested,7100.0
ACBD4,34,0.918918918918919,-0.22353616975324364,0.5746042300198723,-0.42402506368289317,-0.023047275823594116,0.029974001610962177,0.03815450110415283,tested,4788.0
ACBD5,11,0.2972972972972973,-0.1936602173663461,0.5131717587926902,,,,,insufficient_pairs,
ACBD5.1,37,1.0,-0.44400622520992356,0.4227366175042434,-0.5849536308804011,-0.3030588195394461,2.107288722548773e-07,4.7322054611040605e-07,tested,3024.0
ACBD6,37,1.0,0.5437071320398779,0.21054133324478247,0.4735091565665143,0.6139051075132413,1.0886622039768657e-17,1.6833673505852607e-16,tested,2529.0
ACBD7,14,0.3783783783783784,0.1571505116859369,0.8080361944901625,,,,,insufficient_pairs,
ACCS,14,0.3783783783783784,-0.47085365629551484,0.9851556581096994,,,,,insufficient_pairs,
ACD,12,0.32432432432432434,0.627800578980799,0.609332713215357,,,,,insufficient_pairs,
ACE,37,1.0,-1.4221888585979219,0.8537786875035206,-1.7068528456705785,-1.1375248715252653,4.366359974557268e-12,1.7368791497414964e-11,tested,429.0
ACE2,37,1.0,-0.33241318029828393,0.6820721453695929,-0.5598273559084105,-0.10499900468815737,0.005350975158375403,0.007422527633924852,tested,3792.0
ACHE,3,0.08108108108108109,0.438182342757602,0.2963219252955874,,,,,insufficient_pairs,
ACIN1,36,0.972972972972973,-0.03868057243591429,0.3954302730370196,-0.17247492782968948,0.0951137829578609,0.561028744439002,0.5950215680364863,tested,7445.0
ACLY,37,1.0,1.6605166096880961,0.5143661853332978,1.489018385059801,1.8320148343163911,8.020914850144734e-21,5.935543404449731e-19,tested,248.0
ACLY.1,37,1.0,1.020139169487953,0.6084880401416476,0.8172591560511758,1.2230191829247299,3.671248737326096e-12,1.4815064141095878e-11,tested,1032.0
ACMSD,37,1.0,-1.5293211507451674,0.6984317696372458,-1.7621898966546041,-1.2964524048357307,1.7643534635907254e-15,1.3614815324483012e-14,tested,338.0
ACO1,37,1.0,-1.317378760416162,0.5675480887447673,-1.5066087144572498,-1.1281488063750742,3.001565465483493e-16,2.869226940823287e-15,tested,570.0
ACO2,37,1.0,-1.0848958635510169,0.48413539221620555,-1.246314639925288,-0.9234770871767457,8.77411626327758e-16,7.262669214035392e-15,tested,897.0
ACOT1,33,0.8918918918918919,-0.10270614195003253,0.7669285442883036,-0.37464717907208656,0.1692348951720215,0.44735390394594465,0.48398006972720464,tested,6415.0
ACOT11,37,1.0,-1.2991532265106591,0.4249669530178304,-1.4408442630647604,-1.1574621899565578,4.80512414170125e-20,2.246187221614914e-18,tested,595.0
ACOT13,37,1.0,-1.2184346750459132,0.5371820754062595,-1.397540096166512,-1.0393292539253143,6.07420477954977e-16,5.287631221982669e-15,tested,685.0
ACOT2,37,1.0,-1.399045114344186,0.6646515304596142,-1.6206509677624898,-1.1774392609258821,5.738130450236922e-15,3.932564487378473e-14,tested,459.0
ACOT4,37,1.0,-0.860119733599217,0.8200696127815277,-1.133544555591575,-0.5866949116068588,2.166031738914175e-07,4.856306812475445e-07,tested,1423.0
ACOT7,0,0.0,,,,,,,insufficient_pairs,
ACOT7.1,37,1.0,-1.9989442519235099,0.8873498625157754,-2.294801426024114,-1.703087077822906,7.480015623199181e-16,6.32088676539308e-15,tested,98.0
ACOT8,37,1.0,-0.8971647257853501,0.4124787907900266,-1.034692001750192,-0.7596374498205083,2.1570554814299145e-15,1.6196943062510415e-14,tested,1324.0
ACOT9,37,1.0,-0.847592428195781,0.5839233353554987,-1.0422821612846909,-0.652902695106871,1.549085511445442e-10,5.021023860144004e-10,tested,1455.0
ACOT9.1,22,0.5945945945945946,0.35720819199279996,0.3292357130245129,,,,,insufficient_pairs,
ACOX1,37,1.0,-0.22755985554046257,0.7414129558119071,-0.47475924240483736,0.01963953132391219,0.07006686264822161,0.08555499293917683,tested,4741.0
ACOX1.1,37,1.0,-1.5217664138559082,0.9382030625160328,-1.8345788889957138,-1.2089539387161026,8.891242699055064e-12,3.364692545964357e-11,tested,341.0
ACOX2,37,1.0,-1.7059001462659806,0.6079317291397442,-1.9085946763800044,-1.503205616151957,7.729397339296036e-19,1.9174121559167805e-17,tested,225.0
ACOX3,37,1.0,-0.7597464312602977,0.5039702318744288,-0.927778472433397,-0.5917143900871985,5.968963480329869e-11,2.0532117254541749e-10,tested,1703.0
ACP1,37,1.0,0.3458235663568249,0.2503068183443792,0.2623671180473344,0.4292800146663153,5.205569570510569e-10,1.5808276799368746e-09,tested,3676.0
