gene,n,finite_fraction,mean_difference,sd_difference,ci_low,ci_high,p_value,q_value,status,absolute_effect_rank
DPY19L4,12,0.16666666666666666,0.15388282616975008,0.40633055092222836,,,,,insufficient_pairs,
DPY30,72,1.0,-0.005813644630393219,0.18234127500741504,-0.04866174358552968,0.03703445432474325,0.7875305829167818,0.8033909201788171,tested,7959.0
DPYD,72,1.0,-0.06448128950054571,0.38706901328681476,-0.15543804837538644,0.026475469374295,0.1618632785900558,0.18116270786052105,tested,6935.0
DPYS,72,1.0,-1.092077378669379,0.5782771416655641,-1.2279658448906003,-0.9561889124481575,2.7700464628002287e-25,1.72544116097394e-24,tested,790.0
DPYSL2,72,1.0,0.4421481095758523,0.29220055736602235,0.37348434490569626,0.5108118742460084,3.472974480594189e-20,1.2985764376372145e-19,tested,2902.0
DPYSL3,72,1.0,0.3859283451013989,0.7359319791228514,0.21299280834800596,0.5588638818547919,3.117679061757662e-05,4.595495454501503e-05,tested,3256.0
DPYSL4,41,0.5694444444444444,0.4874819897288434,0.47399702893800977,,,,,insufficient_pairs,
DPYSL5,62,0.8611111111111112,0.4393667233904109,0.720830140331149,0.25631014376230477,0.622423303018517,1.0676609246983816e-05,1.6181673104103813e-05,tested,2919.0
DR1,72,1.0,0.11509658988006348,0.2568744215595823,0.054734060147939856,0.1754591196121871,0.00030069649922127666,0.0004178415467094828,tested,6079.0
DRAM2,30,0.4166666666666667,0.18413080856834999,0.2894278120789903,,,,,insufficient_pairs,
DRAP1,72,1.0,0.1372158488804712,0.23757063751925867,0.08138948600763236,0.19304221175331004,5.816777331191128e-06,8.957614651130658e-06,tested,5731.0
DRG1,72,1.0,-0.1155630215498176,0.17407652954665498,-0.15646900053608107,-0.07465704256355413,3.323895281726031e-07,5.527700309523322e-07,tested,6075.0
DRG2,72,1.0,-0.009416293111301112,0.1749878518912367,-0.0505364223496075,0.031703836127005273,0.6493505762544091,0.6736050413643754,tested,7877.0
DROSHA,45,0.625,0.23568314645012223,0.2529152173062802,,,,,insufficient_pairs,
DSC1,72,1.0,-1.2733664514473377,0.8967572901941607,-1.4840940835066005,-1.062638819388075,7.807441399244995e-19,2.6543323355643387e-18,tested,529.0
DSC2,72,1.0,-0.1347147173895628,0.4291081643496605,-0.23555019245006964,-0.033879242329055995,0.009552323799022166,0.011933366818260358,tested,5770.0
DSC3,38,0.5277777777777778,-0.6237968301324371,0.7834885274447373,,,,,insufficient_pairs,
DSCC1,16,0.2222222222222222,0.5612315703197387,0.4967113430508863,,,,,insufficient_pairs,
DSE,8,0.1111111111111111,-0.06582307908605023,0.22868683128741762,,,,,insufficient_pairs,
DSG2,72,1.0,0.34141726148594526,0.3875899019806384,0.25033809976897975,0.43249642320291076,1.5716502355641647e-10,3.174835966198591e-10,tested,3574.0
DSN1,72,1.0,0.5997481441367073,0.2418951379370521,0.5429055734863063,0.6565907147871083,3.1512327122293947e-32,5.821107400067786e-31,tested,2152.0
DSP,72,1.0,-0.7006420194927501,0.6362037322398608,-0.850142567152802,-0.5511414718326981,5.433259529446408e-14,1.3564622520198812e-13,tested,1789.0
DST,72,1.0,-0.0059212717258245095,0.3595810725809665,-0.09041868121096058,0.07857613775931158,0.8892702723605256,0.8984173072744196,tested,7952.0
DSTN,72,1.0,-0.13234611810928903,0.3592462509339015,-0.21676484836469406,-0.04792738785388401,0.0025677560353132046,0.003347476061575356,tested,5800.0
DSTYK,69,0.9583333333333334,0.06016863614111568,0.33447174807580365,-0.020180250812317592,0.14051752309454896,0.13972567450050488,0.15719382349868224,tested,7004.0
DTD1,72,1.0,0.7027116362747454,0.32152266932580015,0.6271575131008712,0.7782657594486196,6.252733312593664e-29,6.334530075425077e-28,tested,1782.0
DTD2,33,0.4583333333333333,0.04511036390486672,0.36497651430742506,,,,,insufficient_pairs,
DTL,4,0.05555555555555555,-0.2245620705566007,0.595600374895765,,,,,insufficient_pairs,
DTNA,68,0.9444444444444444,-0.20341320370396201,0.5606611034141383,-0.33912210226316597,-0.06770430514475803,0.003878980558796704,0.00498903056859608,tested,4862.0
DTNB,57,0.7916666666666666,-0.1581427657698102,0.39027689568282675,,,,,insufficient_pairs,
DTNB.1,72,1.0,-0.99632719065437,0.41897212337912615,-1.0947808128595586,-0.8978735684491814,4.012751090138262e-31,5.973881197776999e-30,tested,953.0
DTNBP1,72,1.0,0.2312267266270888,0.2804806850991766,0.16531699692027796,0.2971364563338996,1.1982158044889724e-09,2.2911752348894075e-09,tested,4568.0
DTWD1,33,0.4583333333333333,0.28723312398591233,0.3165576809833492,,,,,insufficient_pairs,
DTWD2,72,1.0,-0.20665476123401724,0.3445359864209727,-0.2876167487992081,-0.12569277366882636,2.824233458607119e-06,4.440050024521128e-06,tested,4818.0
DTX2,29,0.4027777777777778,0.5117070452279864,0.5479712785631463,,,,,insufficient_pairs,
DTX3,68,0.9444444444444444,-0.46425039373508364,0.5618323187242831,-0.6002427867952393,-0.32825800067492794,3.2560044794823186e-09,6.084422291821483e-09,tested,2768.0
DTX3L,72,1.0,0.8414712120072081,0.38170613537721204,0.7517746676578259,0.9311677563565903,3.756290771251825e-29,3.9340917908533417e-28,tested,1335.0
DTYMK,72,1.0,0.007049111820979424,0.28929994058184577,-0.060933041321593134,0.07503126496355197,0.8367943745908301,0.849772020294357,tested,7941.0
DUS1L,72,1.0,0.07510727795256822,0.26757455270012465,0.012230340673802992,0.13798421523133345,0.019911586664559337,0.024213788161914673,tested,6762.0
DUS2,72,1.0,-0.21351605046463593,0.278451041217645,-0.2789488372418988,-0.14808326368737307,9.309736237033204e-09,1.6933291701234288e-08,tested,4743.0
DUS3L,72,1.0,0.012101611759922875,0.2370499768806491,-0.04360240186113915,0.0678056253809849,0.6661963572145427,0.6897474561005177,tested,7833.0
DUSP1,12,0.16666666666666666,0.43871805619984233,0.5972413780206682,,,,,insufficient_pairs,
DUSP11,72,1.0,0.08492128484299294,0.22700572441961872,0.03157755483496972,0.13826501485101617,0.002221478792469664,0.002905926619222133,tested,6581.0
DUSP12,72,1.0,0.34645607409699464,0.18647917589599108,0.302635616103933,0.39027653209005625,6.878086896529647e-25,4.106457514058545e-24,tested,3548.0
DUSP14,23,0.3194444444444444,0.2845112551099296,0.3473757782307042,,,,,insufficient_pairs,
DUSP16,25,0.3472222222222222,0.6834869134114403,0.5955942550891808,,,,,insufficient_pairs,
DUSP19,72,1.0,0.20681600129080588,0.4070878862439346,0.11115503789945022,0.30247696468216156,5.1469734011547796e-05,7.478571851506512e-05,tested,4814.0
DUSP22,70,0.9722222222222222,0.1139945914692267,0.5035083233391741,-0.00606273041274652,0.23405191335119993,0.062389999127617106,0.07238390276200347,tested,6096.0
DUSP23,72,1.0,0.021276866764372564,0.4456513781639993,-0.08344607295559736,0.12599980648434247,0.6866108148167208,0.7096065061637199,tested,7677.0
DUSP27,19,0.2638888888888889,0.19138796539756725,0.7221533932679152,,,,,insufficient_pairs,
DUSP3,72,1.0,0.1171010656027106,0.22388322540479574,0.06449108689026765,0.16971104431515355,3.251466440375827e-05,4.783944229226692e-05,tested,6050.0
DUSP9,72,1.0,-1.6049533279166366,0.7804661284925555,-1.788353876714057,-1.4215527791192162,2.192983314198377e-27,1.741842959817922e-26,tested,222.0
