gene,n,finite_fraction,mean_difference,sd_difference,ci_low,ci_high,p_value,q_value,status,absolute_effect_rank
C19orf25,37,1.0,0.14550803599576762,0.26709698055129083,0.056453468891122294,0.23456260310041294,0.0021060069953112107,0.0033326463913922488,tested,12508.0
C19orf33,37,1.0,2.3535936653523843,1.2564823359334054,1.9346615970443506,2.772525733660418,1.700742184889114e-13,1.0215794991164684e-12,tested,475.0
C19orf35,37,1.0,0.18291141908141503,0.17219969039387042,0.12549718380279773,0.24032565436003234,1.689006202468167e-07,4.2940258494200776e-07,tested,11538.0
C19orf38,37,1.0,0.712635134084431,0.35200655760389765,0.5952703044981535,0.8299999636707085,1.8098229492417778e-14,1.319183086123631e-13,tested,4155.0
C19orf43,37,1.0,0.3938384596275282,0.2660259024774553,0.30514100773251135,0.4825359115225451,9.449504470140075e-11,3.657404891604246e-10,tested,7339.0
C19orf44,37,1.0,0.0463665016767676,0.3149131216295966,-0.058630760607561554,0.15136376396109674,0.37641565409280997,0.42005322107171095,tested,15735.0
C19orf45,37,1.0,-0.05056532503680058,0.07207075350802804,-0.07459491062521025,-0.026535739448390914,0.00013704151229775838,0.00024991710423371573,tested,15549.0
C19orf47,37,1.0,-0.08553914868982188,0.21730213661452072,-0.15799128823545971,-0.013087009144184036,0.02197677869250433,0.03047809729222959,tested,14300.0
C19orf48,37,1.0,0.6727131111271053,0.38088765223149246,0.5457188451680912,0.7997073770861194,8.842139062026023e-13,4.696688019045837e-12,tested,4437.0
C19orf53,37,1.0,0.049569359857239766,0.33033681117515673,-0.06057041655361107,0.1597091362680906,0.3674405991315989,0.41077514594803216,tested,15589.0
C19orf54,37,1.0,-0.3652164547353227,0.3246295289302651,-0.4734533285052908,-0.2569795809653546,5.2753099193705236e-08,1.420593495513859e-07,tested,7773.0
C19orf57,37,1.0,0.21290751769868443,0.2671922067316858,0.12382120060474833,0.30199383479262054,2.3961882121469487e-05,4.774957862701173e-05,tested,10760.0
C19orf60,37,1.0,0.18798813778106102,0.46286572141744164,0.033661022725958195,0.3423152528361638,0.018365095468749336,0.025750613846656317,tested,11396.0
C19orf66,37,1.0,0.37907872566286166,0.31287035873300073,0.2747625544379608,0.4833948968877625,1.0802964343043663e-08,3.1687108657213015e-08,tested,7554.0
C19orf67,37,1.0,0.3449243428220762,0.7433577856942952,0.09707651739089035,0.5927721682532621,0.007712991608327721,0.011397752833712409,tested,8102.0
C19orf68,37,1.0,-0.07971988586100717,0.18171971041580282,-0.14030825384651946,-0.019131517875494893,0.011352459492794082,0.01641303762945808,tested,14478.0
C19orf70,37,1.0,0.27950401355593313,0.3534940228790145,0.16164323835512534,0.3973647887567409,2.6846569018173637e-05,5.3228810584775096e-05,tested,9311.0
C19orf71,37,1.0,-1.194231697452945,0.743224071522977,-1.4420349403597685,-0.9464284545461215,1.1402725065106284e-11,5.0641593004575105e-11,tested,1968.0
C19orf73,37,1.0,-0.439210278224462,0.2803951590172977,-0.5326986787783894,-0.34572187767053464,2.2243709450266352e-11,9.439976761314518e-11,tested,6759.0
C19orf81,37,1.0,-0.08201865671838945,0.3304533581060472,-0.19219729181066902,0.02815997837389013,0.13983667873942773,0.17130898823551008,tested,14408.0
C19orf84,37,1.0,0.08716913780719826,0.08080063914355473,0.06022886343248987,0.11410941218190665,1.2405017197154035e-07,3.1967425106834954e-07,tested,14254.0
C1D,37,1.0,0.06378602743180731,0.26219619894547935,-0.02363453773287172,0.15120659259648633,0.14762800373932303,0.18011892477128913,tested,15060.0
C1GALT1,37,1.0,-0.12401713896107647,0.5042123171646182,-0.2921298953885216,0.04409561746636864,0.14333616132115604,0.17533489564700683,tested,13102.0
C1GALT1C1,37,1.0,0.19224194266720482,0.215240305582538,0.12047725181386278,0.2640066335205469,3.982474515008245e-06,8.688292987010865e-06,tested,11287.0
C1GALT1C1L,37,1.0,-0.08544758867368324,0.5133806832626572,-0.25661723055236985,0.08572205320500334,0.3180933221288134,0.36302251647559464,tested,14305.0
C1QA,37,1.0,3.0891393309692075,0.8213754795717496,2.8152791113117033,3.3629995506267116,4.892809851743484e-23,3.137203333753492e-21,tested,186.0
C1QB,37,1.0,3.343739881958223,0.9000812507409406,3.043637851683307,3.6438419122331394,7.409328372610074e-23,4.5208853602554694e-21,tested,145.0
C1QBP,37,1.0,-0.5214432593491263,0.41342135058771284,-0.6592848003969352,-0.3836017183013174,4.4004772441429546e-09,1.3622754021761699e-08,tested,5759.0
C1QC,37,1.0,3.0273330060812995,0.7827830238140268,2.7663401518051467,3.2883258603574523,1.9044874790621975e-23,1.3243889950904952e-21,tested,205.0
C1QL1,37,1.0,1.3848158976361389,1.4083491878890708,0.9152488999083024,1.8543828953639754,7.365018004215963e-07,1.7411488007717153e-06,tested,1508.0
C1QL2,37,1.0,0.005594023906648316,0.025905019973532655,-0.003043139773819175,0.014231187587115807,0.19731335021967858,0.23452667797712387,tested,17948.0
C1QL3,37,1.0,-0.49789930994508125,0.962096475798485,-0.8186782457020354,-0.1771203741881271,0.0032973304837997618,0.005095507034401347,tested,6012.0
C1QL4,37,1.0,1.065526845111248,1.1554551389219427,0.6802789213303511,1.450774768892145,2.313152806017978e-06,5.174841552434069e-06,tested,2368.0
C1QTNF1,37,1.0,0.6540777956861233,0.8036029375868265,0.3861432365491901,0.9220123548230565,1.7451758591304163e-05,3.535018352479313e-05,tested,4569.0
C1QTNF12,37,1.0,-0.5279167696225733,0.7330854205817043,-0.7723396180047694,-0.2834939212403772,9.796855068819136e-05,0.00018144278236239495,tested,5686.0
C1QTNF2,37,1.0,0.09667450434579776,0.38864275776337553,-0.032905442531687354,0.22625445122328286,0.1389894670169627,0.170392492619473,tested,13949.0
C1QTNF3,37,1.0,0.517307465694114,0.8416781649005057,0.2366779937250249,0.7979369376632031,0.0006416686212970265,0.0010827084720636268,tested,5795.0
C1QTNF4,37,1.0,-0.01505058456307048,0.17114401997751236,-0.07211284180082822,0.04201167267468726,0.5959909588239031,0.6366863767171652,tested,17232.0
C1QTNF5,37,1.0,0.054070359200868195,0.10148766069408051,0.02023268843828574,0.08790802996345065,0.002568436054945362,0.004021353197524337,tested,15401.0
C1QTNF6,37,1.0,0.8309014669822119,0.4745889997740479,0.672665616317519,0.9891373176469048,1.12588804670166e-12,5.89431840668749e-12,tested,3438.0
C1QTNF7,37,1.0,-0.671644171979472,0.6871972306343992,-0.9007671360928968,-0.4425212078660472,8.228234088505762e-07,1.9343406386289644e-06,tested,4444.0
C1QTNF8,37,1.0,-0.018523673733661858,0.17940688643098923,-0.07834090780994127,0.041293560342617545,0.5339404366861528,0.5769814533774326,tested,17015.0
C1QTNF9,37,1.0,-0.08178264611710473,0.16344707857327473,-0.13627861532206842,-0.02728667691214104,0.004349650615703476,0.006617197342383765,tested,14418.0
C1QTNF9B,37,1.0,-0.04132893722942866,0.0947464525030568,-0.07291897727759866,-0.009738897181258657,0.011785856641598558,0.017004536870773208,tested,15936.0
C1R,37,1.0,0.8632635393906858,0.9374483852974582,0.5507026861631354,1.1758243926182361,2.370406295357329e-06,5.295409835441583e-06,tested,3273.0
C1RL,37,1.0,0.8740512805044024,0.46762362910958877,0.7181378000438446,1.02996476096496,1.807833048300044e-13,1.079392743326873e-12,tested,3210.0
C1S,37,1.0,1.0373816992909077,0.9824561004969672,0.7098145266913127,1.3649488718905027,1.8989677452111237e-07,4.795590774455061e-07,tested,2486.0
C1orf100,37,1.0,-0.08623904185977148,0.21994413431219115,-0.1595720672947664,-0.012906016424776567,0.022465809212972834,0.031119542426571223,tested,14281.0
C1orf101,37,1.0,-0.46730409308660137,0.25657266388514893,-0.552849678311927,-0.3817585078612757,3.754087444347106e-13,2.1196586271589708e-12,tested,6376.0
C1orf105,37,1.0,-0.022003976233680937,0.17968408229845204,-0.08191363201360202,0.03790567954624014,0.46117342401856354,0.5058969709215173,tested,16818.0
C1orf106,37,1.0,-0.7851818949736209,0.7400187646405737,-1.0319164353580095,-0.5384473545892323,1.7263372013781094e-07,4.3830427065861664e-07,tested,3701.0
C1orf109,37,1.0,0.10656074647512652,0.24543580026931497,0.024728376450378953,0.18839311649987409,0.012151361811356853,0.017495852071387295,tested,13633.0
C1orf112,37,1.0,0.4149843486936094,0.20071646297249948,0.34806214806109786,0.4819065493261209,9.755989553533359e-15,7.510563386450284e-14,tested,7057.0
C1orf115,37,1.0,-1.1323367678598328,0.7848185300670455,-1.3940082937099856,-0.8706652420096802,1.8003944612084484e-10,6.679964934044292e-10,tested,2130.0
C1orf116,37,1.0,-1.7120016997082665,0.4156298946024771,-1.8505796059922546,-1.5734237934242785,2.2357582574293402e-24,1.948818776003501e-22,tested,1000.0
C1orf122,37,1.0,-0.3315212876217598,0.3617350812660706,-0.4521297684897324,-0.2109128067537872,2.573504776158607e-06,5.731525119632644e-06,tested,8314.0
C1orf123,37,1.0,0.3113920854979621,0.20488928274603774,0.24307859748447327,0.37970557351145096,4.851336991810303e-11,1.9708556529229356e-10,tested,8698.0
C1orf127,37,1.0,0.3247318211705964,0.29041394469471843,0.22790299116076362,0.4215606511804292,5.986880011554083e-08,1.6008175773048556e-07,tested,8451.0
C1orf131,37,1.0,0.4014145568110398,0.2336479305587392,0.3235124582255072,0.4793166553965724,1.8898686931730296e-12,9.502090997173805e-12,tested,7227.0
C1orf141,37,1.0,-0.014691885040098917,0.017875373984180595,-0.020651831456225293,-0.008731938623972542,1.5048666386435198e-05,3.0706097594328134e-05,tested,17251.0
C1orf145,37,1.0,-0.27410375761518646,0.2050522233084459,-0.3424715727169827,-0.20573594251339022,1.1453633252395816e-09,3.81762642536766e-09,tested,9410.0
C1orf146,37,1.0,0.0493416830364825,0.18968048844953467,-0.013900940493764481,0.11258430656672949,0.12232532610408889,0.1514256245588247,tested,15603.0
C1orf158,37,1.0,-0.005396436699327942,0.015415338909887498,-0.010536166585296478,-0.0002567068133594065,0.04013071962961333,0.05368643905468111,tested,17971.0
C1orf159,37,1.0,0.2602704351498054,0.2293635562524044,0.1837968180782809,0.3367440522213299,4.409612888875946e-08,1.1983883303604673e-07,tested,9680.0
