specification,clip,term,abs_smd
reduced,0.02,bili1,0.006933376143013478
reduced,0.02,crea1,0.026108386240992494
reduced,0.02,sod1,0.016093395725421244
reduced,0.02,pot1,0.027570601460612472
reduced,0.02,paco21,0.034646698926057325
reduced,0.02,ph1,0.033389536405291416
reduced,0.02,wtkilo1,0.01924368886562322
reduced,0.02,adld3p,0.16570434737780063
reduced,0.02,urin1,0.08480968479052439
reduced,0.02,cat1_CHF,0.006162853871399286
reduced,0.02,cat1_COPD,0.06512805452435207
reduced,0.02,cat1_Cirrhosis,0.017926897805304518
reduced,0.02,cat1_Colon Cancer,0.01703880151236439
reduced,0.02,cat1_Coma,0.001410470270441241
reduced,0.02,cat1_Lung Cancer,0.03999367028445977
reduced,0.02,cat1_MOSF w/Malignancy,0.010326487441011162
reduced,0.02,cat1_MOSF w/Sepsis,0.021015145144860865
reduced,0.02,cat2_Colon Cancer,0.0007075581689508898
reduced,0.02,cat2_Coma,0.012975443845852194
reduced,0.02,cat2_Lung Cancer,0.0093290470253766
reduced,0.02,cat2_MOSF w/Malignancy,0.03117719415946783
reduced,0.02,cat2_MOSF w/Sepsis,0.005575155026566486
reduced,0.02,ca_No,0.013054118079770808
reduced,0.02,ca_Yes,0.01731844406022425
reduced,0.02,sex_Male,0.030724986103424196
reduced,0.02,dnr1_Yes,0.03146135756357072
reduced,0.02,ninsclas_Medicare,0.04771209059039297
reduced,0.02,ninsclas_Medicare & Medicaid,0.02031152805689761
reduced,0.02,ninsclas_No insurance,0.0016614778754834106
reduced,0.02,ninsclas_Private,0.01776889951731466
reduced,0.02,ninsclas_Private & Medicare,0.02008522722202694
reduced,0.02,resp_Yes,0.01251843024650752
reduced,0.02,card_Yes,0.007209695239147528
reduced,0.02,neuro_Yes,0.03217979283952495
reduced,0.02,gastr_Yes,0.00975483265416674
reduced,0.02,renal_Yes,0.0020488038859175182
reduced,0.02,meta_Yes,0.005677644578279498
reduced,0.02,hema_Yes,0.019288272840911103
reduced,0.02,seps_Yes,0.024700192232630227
reduced,0.02,trauma_Yes,0.013239850095257997
reduced,0.02,ortho_Yes,0.005446069812172232
reduced,0.02,race_other,0.009863595612537012
reduced,0.02,race_white,0.005483034472174034
reduced,0.02,income_$25-$50k,0.024792198755418854
reduced,0.02,income_> $50k,0.003370406763580087
reduced,0.02,income_Under $11k,0.0021467784542662134
reduced,0.05,cardiohx,0.001823903838162356
reduced,0.05,chfhx,0.00039920098668140786
reduced,0.05,dementhx,0.05091399008346871
reduced,0.05,psychhx,0.012425959942042927
reduced,0.05,chrpulhx,0.021803403310471436
reduced,0.05,renalhx,0.018340905117542543
reduced,0.05,liverhx,0.0007539450162434987
reduced,0.05,gibledhx,0.012618770233929485
reduced,0.05,malighx,0.009535361415942042
reduced,0.05,immunhx,0.005575534145445723
reduced,0.05,transhx,0.024137314660162723
reduced,0.05,amihx,0.0044558190964183115
reduced,0.05,age,0.004351334139518072
reduced,0.05,edu,0.0075797778985701916
reduced,0.05,surv2md1,0.013008092329875124
reduced,0.05,das2d3pc,0.034456564967130975
reduced,0.05,aps1,0.04217591172770389
reduced,0.05,scoma1,0.01227522821165063
reduced,0.05,meanbp1,0.021725212587101538
reduced,0.05,wblc1,0.04127058982554896
reduced,0.05,hrt1,0.04651312324167133
